Cell,Volume_nm^3
AWBL,1733636030
SABD,116503414
AWBR,1818805728
CANL,80905846
PVDL,10420972
CANR,83137117
RMFR,2873011696
SMDDR,5792768181
SMDDL,5595470827
SAADR,2737351780
URXR,3974010412
RIH,10044422265
RIGL,4712298530
ADER,2513952892
ADEL,2582236184
FLPR,780874108
FLPL,1368424672
ASKL,2460144315
AIAL,3534781144
URAVR,1450584324
URYVR,2428315015
IL1VR,2721372042
RMDR,6012088205
RMHR,2684678251
URAVL,1490964166
PVR,809971985
AVM,1840522368
BWM-DL08,263614296
BWM-DL04,1480552328
BWM-DL05,836144317
BWM-DL07,188200985
BWM-DL03,1389195820
BWM-DL01,987402577
BWM-DL02,1751182454
BWM-DL06,791105526
AVAL,4487485971
URXL,3753217338
IL2VL,1311281749
IL1VL,2650971668
RIBL,6015066279
OLQVL,2361689760
CEPDL,3256303887
BWM-DR07,295212932
BWM-DR05,697341893
AIBR,5623111640
URBL,2248637165
URYDR,2353497775
OLQDR,2084390943
BWM-DR01,1137391045
BWM-DR03,1296519275
CEPDR,3579299229
BWM-DR06,666213719
BWM-DR02,1467820151
BWM-DR04,1615376374
AVAR,4501293817
OLQVR,2242167164
OLLR,4268672950
IL2R,2474038945
IL2L,2586328751
IL1L,3465097884
SAAVL,2765321461
AVJL,1438407110
AVHL,1751831053
RIVL,3330488515
ALNL,828941216
SDQL,1389257482
ALMR,2183916599
RMDDL,6437578142
ALNR,855097561
IL1R,3392002628
AINR,3451420214
AVJR,1526045595
AVHR,1803581927
SDQR,3024032442
SMBDL,4581898202
CEPVL,3375614090
RIMR,9985086896
RMFL,2578584390
ADAR,2303772629
BAGL,5186986054
ASER,4907716319
BWM-VR08,305983326
BWM-VL06,553279882
BWM-VL02,1653401620
RMDVL,6697070182
SIAVR,1966702237
AVDL,1687501016
PVCR,2172298916
RIFR,2971886470
BDUR,1283798517
AVBR,3641838768
AVFR,1923273524
AVFL,1864415469
ASHR,2984721418
AIAR,3674264139
ASKR,2503981827
PVQR,2968636624
RMGR,4176987574
ASJR,2800647256
AIMR,2220160482
ASGR,1970201016
PVPR,1805941091
AVBL,3985861043
BWM-DR08,291234555
URBR,2235987205
RMDL,5511127863
URYVL,2175128542
BAGR,5046018590
AVKR,3874267796
AVKL,3642839072
SIADR,1954335468
SIBDR,2018270408
ADFR,2790543731
AWAR,2513671985
AWCR,4241299341
ASIR,2249909241
AINL,2962972804
AFDR,2692890790
AUAR,3593582105
AIYR,4187853888
SMBDR,4564787983
SMBVR,3915896875
PVPL,1956913877
AQR,4097488548
PVCL,2205722307
SAAVR,2664806920
SAADL,2767433974
SMDVR,5264772232
RMDVR,6575946643
SIAVL,1737449973
RMHL,2967647740
RICL,4275414723
SIBVR,2595916137
RID,1815163070
AVDR,1822126371
ALML,2056108382
BDUL,1316829096
ASHL,3372170122
ADFL,2735851324
RMGL,4126024610
PVQL,3069676439
AIML,2237245578
ASJL,2740594774
AIBL,6099265363
AUAL,3642514772
AFDL,2922791653
ASGL,2067874512
BWM-VL04,1380958158
BWM-VL01,1324664808
BWM-VL03,1340121557
BWM-VL08,262143530
BWM-VL07,307591120
BWM-VL05,692815405
AVEL,2652661679
ADLL,4590412203
AVER,3073186637
ALA,1004727473
ADLR,4470455685
BWM-VR06,653273717
BWM-VR02,1753482239
BWM-VR04,1896452594
BWM-VR07,359001709
BWM-VR05,999837860
BWM-VR01,1245156646
BWM-VR03,2174240145
AWCL,5797520766
RMEV,3562227835
CEPVR,3143217035
AIZR,5237791436
RICR,4164682468
ASIL,2212628514
DVA,8063348084
RIGR,4951460196
DVC,4867391288
PVT,3998431070
ADAL,1927795445
RIML,10731480214
SIBVL,2556751276
SIBDL,2111273535
SIADL,1843536982
RIR,3754989566
AVL,2483048530
RIVR,3144125987
RIS,8725864334
SMDVL,5446222309
RIAR,7811575282
RIAL,8035364700
RIBR,5559553527
IL2VR,1558690211
URADR,1514809306
IL2DR,1704481058
IL1DR,3066986124
OLLL,4263632607
RIPR,1590078738
SMBVL,4033912164
AIZL,5647760678
AIYL,3990022124
AWAL,2721381177
ASEL,3850577953
RIFL,2863885637
RMEL,2973825415
RIPL,1550699200
RMED,3173710313
RMER,2963559740
RMDDR,6943528584
URYDL,2453027998
IL1DL,2869008198
URADL,1627144788
OLQDL,2091164689
IL2DL,1538085781
