Cell,Volume_nm^3
RIMR,19511619840
RIVL,6484285440
BWM-DR01,2071176960
AIML,5689896960
IL1R,6474902400
ASJR,4458163200
RID,9711853440
BWM-DL03,2757381120
PVCR,3872131200
AINL,6785566080
SAADL,5176066560
PVNL,3456842880
IL1VL,4936652160
ALNR,2071745280
AWCR,7711555200
OLQDL,3979161600
RMHR,5755000320
SMBVR,11074414080
IL1VR,5119019520
IL1L,6114138240
BWM-VR05,2319803520
RIGR,9716538240
RMGL,10698497280
URAVR,2528415360
AIZL,9662620800
AVAR,11854341120
ASGL,3966908160
BWM-VR02,3127800960
RIFL,6550723200
AVDR,5574443520
BWM-VR04,4072546560
PVQL,5936448000
URYDR,4047231360
CEPDR,7091326080
SMBDL,10355834880
BWM-DR05,2220721920
AVHR,4427435520
URBR,4310499840
IL2L,4008840960
RIFR,5242126080
CEPDL,6699811200
ADLR,6572970240
RMGR,8803968000
SDQR,5703025920
AIYR,6895013760
SIAVR,5073208320
BWM-VL06,2832528000
BWM-VR07,972952320
RIML,18944206080
SAADR,5844286080
AFDR,5102513280
BWM-VL01,2080400640
ASIL,4206320640
SIBDL,4371006720
RIBL,13171916160
BWM-DL02,3561626880
URXL,6795239040
SMDDL,10635989760
RIPL,2541880320
ASHL,5605257600
BWM-VL07,800305920
SMDVL,10353555840
HSNR,4061905920
RMEL,5734185600
AIMR,4750857600
FLPR,2113568640
AVFR,7661792640
BWM-VL04,4730411520
ADFL,4852024320
AWAR,4723157760
URYVL,4588030080
RMDVL,12967299840
RIPR,2802808320
RMDVR,12938081280
AIBL,11935923840
SAAVL,5244424320
ASEL,5668730880
RICR,8197921920
ADEL,9267206400
RICL,8445265920
BWM-VL08,446494080
RMDDR,12870071040
AFDL,5086884480
BWM-DL05,2514560640
SAAVR,6215967360
AWCL,8962984320
BWM-VR06,2390242560
RMHL,5710216320
PVQR,5884199040
AVDL,4990080000
RIH,18260572800
SIADL,4084195200
OLQVR,4124974080
URADL,2740199040
IL2VL,2822017920
AVL,7124655360
BAGL,8399575680
RIAR,16879770240
RIBR,11840520960
HSNL,5307287040
AVM,4588030080
IL1DR,5106894720
ASKR,4421197440
IL2DR,2745068160
SIBDR,4417052160
URYDL,4077025920
AVAL,12160235520
ASKL,4926293760
AVHL,4645860480
AIZR,8921744640
ADFR,4823650560
ASHR,5218813440
AUAL,6972069120
OLQDR,3965688960
AIAL,6628062720
PVPR,3922846080
OLQVL,4131141120
PLNR,1748014080
RMED,6505864320
CEPVR,6696303360
RMEV,6154784640
ALML,4641327360
PVCL,4514563200
BWM-DR06,1960721280
BWM-DR02,3794910720
AIYL,7055468160
AWAL,5344183680
SIADR,5237898240
BDUR,3185141760
ALA,3278321280
URXR,7011594240
ADAL,4892776320
AWBR,3298394880
AWBL,3347301120
IL2R,4116647040
BWM-DR04,4030776960
BWM-DR08,610947840
RMDDL,13214496000
ASER,6946746240
SABVL,27534720
RIR,7773555840
BWM-DR07,672933120
BWM-DL01,2349759360
AUAR,6316174080
BWM-VL02,3274801920
RIVR,6470050560
AIAR,5968970880
BWM-VL03,3787405440
AQR,6995760000
ADLL,7585482240
CANL,47809920
SMBVL,10383761280
BAGR,10149348480
SIBVL,5794471680
AVKR,11770924800
RMFL,7642298880
SDQL,3652932480
RMDL,11493630720
RIS,24617032320
IL2VR,2503242240
RMFR,7325235840
URAVL,3184285440
DVA,15073259520
BWM-DL07,648360960
PVT,10677502080
URBL,4603856640
SMDDR,10490121600
ADAR,4039009920
AINR,6452311680
IL1DL,5078526720
ASIR,3471565440
URADR,2820380160
SIAVL,5692869120
BWM-VR03,3234193920
FLPL,2892902400
BWM-DL04,3992601600
BWM-DL08,587400960
ALNL,2372684160
BWM-VR01,2508583680
URYVR,4083248640
ASJL,4831090560
RMER,5913198720
ADER,8375840640
PVNR,4512264960
SMDVR,10441726080
AIBR,11687938560
BWM-VL05,2668112640
RIAL,16512825600
BDUL,3570049920
RMDR,11826927360
SIBVR,6674691840
ASGR,3395890560
unknownFLPR,1483918080
BWM-VR08,528576000
SMBDR,11730034560
IL2DL,3037426560
DVC,9553009920
RIGL,11918376960
OLLL,7967299200
OLLR,7773277440
CEPVL,7091639040
AVKL,11405136000
PVPL,4770979200
AVFL,6430840320
PVR,6142967040
BWM-DR03,2780517120
PLNL,2044573440
BWM-DL06,2133321600
CANR,46295040
ALMR,4638541440
AVER,6293585280
AVBR,14754821760
AVEL,6205038720
AVJR,3900641280
AVBL,14087921280
AVJL,3855726720
