,RIMR,RIVL,BWM-DR01,AIML,IL1R,ASJR,RID,BWM-DL03,PVCR,AINL,SAADL,PVNL,IL1VL,ALNR,AWCR,OLQDL,RMHR,SMBVR,IL1VR,IL1L,BWM-VR05,RIGR,RMGL,URAVR,AIZL,AVAR,ASGL,BWM-VR02,RIFL,AVDR,BWM-VR04,PVQL,URYDR,CEPDR,SMBDL,BWM-DR05,AVHR,URBR,IL2L,RIFR,CEPDL,ADLR,RMGR,SDQR,AIYR,SIAVR,BWM-VL06,BWM-VR07,RIML,SAADR,AFDR,BWM-VL01,ASIL,SIBDL,RIBL,BWM-DL02,URXL,SMDDL,RIPL,ASHL,BWM-VL07,SMDVL,HSNR,RMEL,AIMR,FLPR,AVFR,BWM-VL04,ADFL,AWAR,URYVL,RMDVL,RIPR,RMDVR,AIBL,SAAVL,ASEL,RICR,ADEL,RICL,BWM-VL08,RMDDR,AFDL,BWM-DL05,SAAVR,AWCL,BWM-VR06,RMHL,PVQR,AVDL,RIH,SIADL,OLQVR,URADL,IL2VL,AVL,BAGL,RIAR,RIBR,HSNL,AVM,IL1DR,ASKR,IL2DR,SIBDR,URYDL,AVAL,ASKL,AVHL,AIZR,ADFR,ASHR,AUAL,OLQDR,AIAL,PVPR,OLQVL,PLNR,RMED,CEPVR,RMEV,ALML,PVCL,BWM-DR06,BWM-DR02,AIYL,AWAL,SIADR,BDUR,ALA,URXR,ADAL,AWBR,AWBL,IL2R,BWM-DR04,BWM-DR08,RMDDL,ASER,SABVL,RIR,BWM-DR07,BWM-DL01,AUAR,BWM-VL02,RIVR,AIAR,BWM-VL03,AQR,ADLL,CANL,SMBVL,BAGR,SIBVL,AVKR,RMFL,SDQL,RMDL,RIS,IL2VR,RMFR,URAVL,DVA,BWM-DL07,PVT,URBL,SMDDR,ADAR,AINR,IL1DL,ASIR,URADR,SIAVL,BWM-VR03,FLPL,BWM-DL04,BWM-DL08,ALNL,BWM-VR01,URYVR,ASJL,RMER,ADER,PVNR,SMDVR,AIBR,BWM-VL05,RIAL,BDUL,RMDR,SIBVR,ASGR,unknownFLPR,BWM-VR08,SMBDR,IL2DL,DVC,RIGL,OLLL,OLLR,CEPVL,AVKL,PVPL,AVFL,PVR,BWM-DR03,PLNL,BWM-DL06,CANR,ALMR,AVER,AVBR,AVEL,AVJR,AVBL,AVJL
AVFL,0,0,0,1836480,0,607680,508080,0,0,0,160800,469200,0,0,0,9600,0,234960,0,170400,0,0,3819840,0,0,377040,0,0,3252000,315840,0,3422160,53760,0,0,0,386400,0,30000,1914000,0,464880,2780640,0,0,0,0,0,0,125760,0,0,0,0,0,0,0,0,0,1431600,0,0,5266080,0,1293360,0,8135520,0,9120,385200,0,0,0,0,0,0,0,0,47280,4320,0,6960,0,0,0,0,0,0,2862960,23520,0,0,0,0,0,0,0,0,0,7107600,0,0,435360,0,61200,0,237360,316800,211440,0,0,1247040,0,64080,33120,0,0,0,0,69360,8400,0,0,0,0,0,148320,2880,923040,71760,147600,567600,222720,6720,0,0,0,96000,15600,0,0,0,0,0,0,0,0,0,0,450960,0,677040,0,0,0,0,0,0,0,0,0,0,402480,0,0,19680,203520,16560,0,0,0,48480,3120,0,0,0,0,103440,0,0,1063440,0,0,974160,0,0,0,0,278400,0,1219200,0,0,0,39600,0,0,0,144480,0,0,0,0,0,0,0,0,0,0,0,0,312000,70080,433440,419760,386880
PVR,0,1203840,0,0,0,0,188880,0,76800,0,0,2040480,549600,0,0,0,0,41280,447120,960,1200,0,0,20880,0,0,0,0,0,0,6240,0,0,1327920,0,0,0,56880,0,0,878640,0,40560,1386960,0,660960,0,0,0,0,0,60000,0,252000,0,0,25680,0,2034720,0,0,0,0,0,11760,21360,0,222240,0,0,315840,0,2126880,0,0,0,0,769440,830160,175440,0,0,0,0,0,0,68400,0,0,1426080,0,0,0,92640,0,0,0,0,0,0,1157760,531120,0,0,0,0,147360,0,214320,0,0,0,0,0,0,9840,0,27840,0,3031440,0,1380960,0,501120,0,0,0,0,49680,0,0,636960,0,0,0,140640,242640,0,0,0,0,0,0,0,0,1133280,0,151680,13680,0,0,0,0,1157280,0,0,1030320,346080,0,0,126720,3120,317280,0,0,144720,0,48720,0,287760,0,103680,0,0,1006320,5040,1200,0,61200,616080,0,0,445440,551040,0,0,188880,0,174000,960,244560,0,0,0,0,9120,0,0,0,0,2065920,0,0,0,0,0,0,37920,0,1351440,0,2301600,0,1936560,2499360,22560
BWM-DR03,0,0,9463920,0,0,0,0,1568640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267840,127440,188880,12805680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252240,0,0,0,0,0,79440,0,0,0,0,0,0,0,0,10560,0,0,0,0,0,0,0,0,195840,0,309840,0,0,0,0,0,0,69840,0,0,0,0,0,0,0,0,0,0,41040,0,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507840,0,1293120,0,0,0,443040,0,0,0,0,0,0,0,0,0,0,0,0,1523760,0,0,0,163200,192240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489360,0,0,0,0,0,0,0,0,0,21120,0,0,97440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLNL,0,0,0,0,0,0,98880,0,0,0,2745600,0,2160,0,0,0,670560,0,0,0,0,0,2952720,0,0,42240,15840,0,0,0,0,0,0,0,48960,0,0,0,0,0,0,0,0,0,0,0,99360,0,0,0,0,0,0,1465440,0,0,0,383040,0,0,0,0,0,0,0,0,53520,48240,0,0,0,0,0,786720,0,0,0,0,230400,98160,5520,0,0,0,456000,0,0,755040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225840,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52800,0,0,0,0,0,348000,0,0,0,0,0,3448080,0,159120,0,382560,0,45360,0,0,0,0,2640,0,0,0,0,0,0,0,0,0,1730400,0,58320,0,0,0,0,0,0,0,0,0,959760,58800,0,0,11280,136800,412800,0,0,0,0,0,0,94080,0,0,1109760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-DL06,501120,0,0,0,0,0,0,0,0,0,0,8160,0,0,0,0,0,0,0,0,0,0,1386960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,74640,0,0,0,0,0,1273200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219600,0,0,0,115920,0,0,32880,0,0,0,0,0,11760,0,0,0,0,0,0,0,0,10998480,6007680,0,0,0,0,0,0,11040,0,0,0,0,720,732240,0,0,0,0,298080,0,0,0,0,0,0,0,0,0,37920,0,0,0,0,0,0,0,0,0,0,0
CANR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMR,0,0,0,0,0,0,0,0,1430880,0,69360,1176480,0,42240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634240,0,0,0,922080,633360,0,411120,804000,0,361920,0,0,329760,2761680,0,0,0,0,0,0,0,0,0,881760,0,0,0,0,0,0,0,0,0,0,647280,0,576960,0,0,0,0,0,0,0,0,0,0,10320,0,0,0,0,0,0,0,0,0,0,0,1212240,0,1178400,0,0,0,0,0,0,0,508320,1037760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190880,0,0,0,0,0,0,0,0,1765200,0,707760,0,0,0,0,0,0,144480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260400,0,0,0,0,0,0,0,0,0,0,0,0,0,1167600,298560,0,0,0,0,0,0,0,0,0,0,0,0,0,1528800,1640880,0,0,0,0,0,0,0,0,151680,0,0,0,0,0,0,0,0,0,0,0,1351440,0,0,0,0,0,198480,659760,0,354000,841680,803520
AVER,1705200,112320,0,91680,289920,0,0,0,88560,0,262560,0,48240,0,0,224400,35280,103440,0,476160,0,580080,0,0,2785440,1511520,0,0,293520,585360,0,0,139920,0,676080,0,349440,72720,0,95040,1884000,0,845520,0,0,56880,0,0,543840,260640,0,0,0,229920,3041760,0,0,0,0,0,0,0,0,253920,240960,0,55920,0,0,0,2939280,1075200,0,287520,100800,87360,0,0,0,0,0,0,0,0,109440,0,0,12720,0,623280,272400,684960,0,0,0,0,2417040,0,822720,0,14640,0,0,0,0,2195280,21120,0,0,4024080,0,50160,0,0,0,0,147840,0,330480,137760,154800,0,1538400,0,0,168960,0,352080,33600,425040,561120,60960,0,0,168000,0,0,780240,0,0,283680,0,0,2290080,0,300960,0,0,0,0,0,3120,0,463200,1745040,79920,18720,0,1677360,0,107040,0,1691520,0,19680,0,1448400,201120,0,0,0,0,1452480,0,202800,0,0,0,0,0,0,0,503520,181200,1734480,720240,0,102720,0,1614960,0,0,0,0,2160,0,563280,1211760,6230880,0,1710960,1439760,459120,0,0,0,0,0,0,198480,0,2985600,304080,21840,1200,340080
AVBR,2419200,717360,0,381600,0,0,2646960,0,5127120,0,0,203040,0,0,0,0,0,708720,0,0,0,0,92160,0,0,2429520,0,0,450720,2691120,0,36720,86400,0,22080,0,3517440,72240,0,3069600,14160,12000,438000,2739360,139680,200880,0,0,3379200,0,0,0,0,1044960,568080,0,76320,0,142800,0,0,392400,56640,0,0,0,304800,0,0,113520,0,0,878160,0,0,264480,0,908880,0,71520,0,0,0,0,2880,0,0,146640,1440,3007440,0,300480,0,0,0,0,620640,0,353520,1004400,929520,52080,0,69600,62160,23280,1358400,0,1399920,657360,167520,2845440,0,87360,615840,2404560,0,0,0,25920,0,0,6388080,36000,0,88320,0,0,678720,0,7440,2235840,0,0,0,0,0,0,0,0,19200,0,0,516000,0,275520,0,0,3926880,0,0,952080,793440,1157760,186240,557280,42480,0,2030640,0,0,10800,3779040,0,0,0,0,4602240,0,0,0,96480,1908480,0,234000,0,0,0,0,458400,0,0,0,407040,8400,3329040,0,0,59040,0,1277280,240,0,0,1440,0,0,2009040,0,0,960,309600,4486320,312000,2301600,0,0,0,0,659760,2985600,0,150240,2993760,2813520,4929600
AVEL,543840,109440,0,117840,249840,0,66240,0,514800,0,165120,0,0,0,0,0,0,97680,0,214560,0,550560,921360,0,3740400,0,0,0,316080,1354560,0,0,1700400,1615200,0,0,0,0,67920,0,0,0,0,0,175680,1123200,0,0,1983120,505200,0,0,0,0,1237920,0,699600,1291680,0,99840,0,1236000,2400,0,262320,592080,1200,0,0,0,0,190320,0,743280,986160,12720,0,0,0,1440,0,356640,0,0,57120,0,0,0,0,114960,242640,399840,97680,0,0,57600,21840,403200,2755200,0,0,0,0,0,468960,242400,261360,0,0,3136080,0,0,2388720,134400,0,235920,0,0,190080,1908720,268800,10320,375840,0,0,0,0,410880,0,933360,0,256560,0,0,0,0,0,0,0,0,154320,0,0,0,0,195600,13680,0,20640,0,0,897120,3275280,960,1418400,278400,121920,1176960,1427520,0,398160,0,2565840,0,30240,44880,80160,0,0,144480,0,0,38640,0,454560,0,0,0,0,1963680,38400,246960,0,0,0,1307520,0,0,150240,0,315360,0,0,0,380400,156720,574080,1542720,0,4811040,0,1592400,0,70080,0,0,0,0,0,0,304080,150240,0,366000,849120,0
AVJR,0,0,0,64320,0,3840,1121520,0,437040,0,0,1558800,0,0,1440,0,0,0,0,0,0,0,460080,0,0,68880,0,0,921360,3597600,0,762240,62160,28800,0,0,3584160,0,0,36720,0,198960,0,0,0,0,0,0,1262400,63600,0,0,0,170640,0,0,135120,0,17040,175200,0,0,2400,0,138720,0,1920,0,0,0,66000,0,0,0,0,0,0,533520,0,15120,0,0,0,0,0,0,0,0,0,141120,0,0,0,0,0,0,0,0,0,389520,3158400,0,98880,5520,0,0,1275120,0,0,0,0,26400,0,42960,480,0,85440,0,0,0,0,529920,1813920,3120,0,822720,0,0,149040,96000,51120,1257360,0,0,0,0,3600,0,0,0,0,0,0,0,0,128400,0,0,100560,259680,0,200160,0,0,0,0,0,0,1042080,0,0,0,17760,0,0,201360,0,0,1201200,0,324960,94800,107760,0,85680,0,0,0,0,0,0,0,204720,671040,45600,0,0,0,1539360,0,9120,0,986160,0,0,0,0,0,0,63360,43920,0,233280,433440,1936560,0,0,0,0,354000,21840,2993760,366000,0,6400560,937680
AVBL,1613280,191280,0,313440,0,0,835920,0,5020320,0,0,548880,0,0,0,80880,652800,0,0,0,0,280800,770400,0,829680,1106640,0,0,1994640,2884560,0,0,137520,0,0,0,3658800,64080,0,0,0,0,0,984960,2160,1227600,0,0,4237440,0,0,0,0,315360,591360,0,2160,0,880560,4677600,0,0,256080,0,0,141600,9840,0,181680,0,419280,32640,22320,0,3077520,5040,0,1332240,0,232320,0,0,0,0,152160,0,0,0,0,2719680,0,0,0,269520,0,42240,60720,162960,246960,312720,2469360,0,0,0,1292400,199200,2009040,0,2194320,0,0,0,644400,0,0,3455520,115920,7200,0,301200,663840,1560720,6242640,0,0,409440,14640,416400,0,0,49920,4326480,0,26400,0,0,0,0,0,0,32160,0,0,0,0,1145760,0,0,3288480,218640,0,94560,0,618960,1411200,0,629040,0,769680,0,0,0,2414160,0,3600,63600,0,1222560,0,22800,0,0,0,0,354960,0,0,0,0,99840,0,0,0,514560,133920,0,0,0,900480,0,1680480,0,0,0,109200,15120,640800,0,0,0,62640,44160,1794720,419760,2499360,0,0,0,0,841680,1200,2813520,849120,6400560,0,2033760
AVJL,425760,76800,0,211440,0,0,0,0,2104080,1244160,0,1313760,0,0,0,64560,0,578880,0,0,0,0,0,0,0,563520,0,0,837360,122160,0,0,46320,0,0,0,709200,138960,0,2131200,42240,209760,532800,0,516480,132000,0,0,0,0,0,0,0,88800,0,0,265440,0,0,54720,0,335040,233040,0,108720,417120,503040,0,0,0,0,0,0,91200,0,0,0,524640,166320,375120,0,0,0,0,0,0,0,0,439680,4325520,0,0,30720,30720,0,0,0,0,0,114000,4049280,0,2640,0,268800,42960,2160,201600,2514480,0,18480,320880,0,0,0,34560,0,0,0,120240,0,553680,983760,0,0,0,0,213360,2407440,214080,96960,52320,0,0,0,0,0,0,3360,0,0,0,0,0,0,0,7200,0,2880,571920,0,0,0,503040,0,0,0,0,473760,0,0,0,66240,0,0,0,212160,1270560,0,17040,0,0,0,0,353520,0,0,4800,0,54960,39600,0,0,1161360,0,50640,0,0,477840,0,20160,1920,0,0,0,0,0,0,0,0,0,0,0,386880,22560,0,0,0,0,803520,340080,4929600,0,937680,2033760,0
