,RIMR,RIVL,BWM-DR01,AIML,IL1R,ASJR,RID,BWM-DL03,PVCR,AINL,SAADL,PVNL,IL1VL,ALNR,AWCR,OLQDL,RMHR,SMBVR,IL1VR,IL1L,BWM-VR05,RIGR,RMGL,URAVR,AIZL,AVAR,ASGL,BWM-VR02,RIFL,AVDR,BWM-VR04,PVQL,URYDR,CEPDR,SMBDL,BWM-DR05,AVHR,URBR,IL2L,RIFR,CEPDL,ADLR,RMGR,SDQR,AIYR,SIAVR,BWM-VL06,BWM-VR07,RIML,SAADR,AFDR,BWM-VL01,ASIL,SIBDL,RIBL,BWM-DL02,URXL,SMDDL,RIPL,ASHL,BWM-VL07,SMDVL,HSNR,RMEL,AIMR,FLPR,AVFR,BWM-VL04,ADFL,AWAR,URYVL,RMDVL,RIPR,RMDVR,AIBL,SAAVL,ASEL,RICR,ADEL,RICL,BWM-VL08,RMDDR,AFDL,BWM-DL05,SAAVR,AWCL,BWM-VR06,RMHL,PVQR,AVDL,RIH,SIADL,OLQVR,URADL,IL2VL,AVL,BAGL,RIAR,RIBR,HSNL,AVM,IL1DR,ASKR,IL2DR,SIBDR,URYDL,AVAL,ASKL,AVHL,AIZR,ADFR,ASHR,AUAL,OLQDR,AIAL,PVPR,OLQVL,PLNR,RMED,CEPVR,RMEV,ALML,PVCL,BWM-DR06,BWM-DR02,AIYL,AWAL,SIADR,BDUR,ALA,URXR,ADAL,AWBR,AWBL,IL2R,BWM-DR04,BWM-DR08,RMDDL,ASER,SABVL,RIR,BWM-DR07,BWM-DL01,AUAR,BWM-VL02,RIVR,AIAR,BWM-VL03,AQR,ADLL,CANL,SMBVL,BAGR,SIBVL,AVKR,RMFL,SDQL,RMDL,RIS,IL2VR,RMFR,URAVL,DVA,BWM-DL07,PVT,URBL,SMDDR,ADAR,AINR,IL1DL,ASIR,URADR,SIAVL,BWM-VR03,FLPL,BWM-DL04,BWM-DL08,ALNL,BWM-VR01,URYVR,ASJL,RMER,ADER,PVNR,SMDVR,AIBR,BWM-VL05,RIAL,BDUL,RMDR,SIBVR,ASGR,unknownFLPR,BWM-VR08,SMBDR,IL2DL,DVC,RIGL,OLLL,OLLR,CEPVL,AVKL,PVPL,AVFL,PVR,BWM-DR03,PLNL,BWM-DL06,CANR,ALMR,AVER,AVBR,AVEL,AVJR,AVBL,AVJL
BWM-VR08,0,76320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464880,0,0,0,0,0,0,0,0,0,0,0,0,2494560,0,0,0,0,0,0,0,0,0,0,0,1343760,0,0,0,0,0,132000,10320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2840160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1721040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94080,0,70800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142800,0,0,0,0,0,0,0,0,0,0,4320,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMBDR,398160,1174080,0,0,0,0,0,757440,34320,19200,98400,0,0,0,0,1797120,816000,11514240,5760,0,0,1260480,519600,480,96720,1200,0,0,24960,0,0,0,94560,0,712320,0,0,201360,0,0,1636320,0,823200,0,248880,3975840,0,0,0,2257440,0,0,0,789120,0,49200,110880,0,0,0,0,228000,0,0,0,10800,0,0,0,15360,0,0,0,10800,846720,3567120,0,1174320,700800,1140000,0,2824800,0,953760,1083840,0,0,0,0,0,1032480,0,0,0,0,1345440,0,876720,229680,0,462240,0,0,0,4008000,0,1878480,0,78240,3747360,295200,0,0,0,0,0,0,63600,290160,0,0,487680,0,0,0,0,0,5734320,0,9840,0,350160,305520,0,0,0,0,648000,0,0,244800,0,659040,0,0,522960,0,0,0,0,0,44400,0,4070160,1952160,0,1291680,0,401040,6960,583200,0,1018320,312240,26160,834720,363120,529440,0,0,0,0,0,0,343200,443280,153600,1586400,0,494640,960,0,585360,0,487680,0,0,0,93840,0,2915280,0,0,0,0,0,3360,8880,84960,0,0,1330080,0,39600,0,0,0,298080,0,0,2160,1440,380400,0,109200,0
IL2DL,0,0,0,0,0,0,0,0,0,31680,0,480,0,0,70320,1882800,0,0,0,0,0,0,0,0,0,0,0,0,67920,100800,0,0,0,0,0,0,0,0,111120,0,1038480,0,0,0,0,0,0,0,0,0,0,0,62160,0,0,0,293520,0,5194080,0,0,0,0,1290720,0,0,0,0,0,0,0,170880,0,0,71040,0,0,0,0,180720,0,10080,55200,0,0,146400,0,192720,0,0,3201600,0,0,1920480,0,99600,66000,0,0,0,0,0,0,0,0,923280,185760,0,480,0,0,0,192720,0,0,0,0,0,1113840,0,479040,0,0,0,0,0,0,0,0,28800,0,116400,0,0,0,0,0,0,0,0,0,0,4080,0,0,0,0,0,0,127920,0,0,0,0,0,0,0,0,22800,0,0,0,0,0,87360,0,0,0,42720,2038080,0,0,0,0,0,0,0,0,0,0,11040,1834320,0,12480,0,0,0,0,86640,0,0,0,0,0,0,0,81840,160320,0,0,0,0,0,0,9120,0,0,0,0,0,0,0,156720,0,15120,0
DVC,0,1109520,0,0,0,0,318480,0,0,0,0,0,44640,0,0,90240,0,4800,72240,0,0,6614640,0,198720,640080,2400000,0,0,0,0,0,0,171840,0,3120,0,0,32880,0,0,4560,0,0,0,0,144960,0,0,352320,224880,0,0,0,0,1313040,0,0,0,0,0,0,0,0,1200,0,241440,0,0,0,0,256320,0,0,0,1960080,0,0,0,13440,0,0,0,0,0,66000,0,0,0,0,56400,208080,0,65760,0,290400,675120,372480,0,3177120,0,0,46080,0,70560,0,172560,1864560,0,418320,527520,0,0,0,87600,0,698160,162720,0,666960,0,15120,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,16080,0,31920,0,0,0,0,1308240,0,0,1356000,0,0,0,1440,0,5869680,3846000,0,0,55920,184320,3315600,344640,0,0,12707280,0,0,960,0,119280,0,0,0,0,2880,0,0,0,0,280320,0,4560,1680,0,0,3222720,0,0,0,28320,0,0,0,0,3360,81840,0,7819200,175680,184320,0,4209840,2160,0,0,0,0,0,0,0,563280,0,574080,0,640800,0
RIGL,208800,0,0,237840,0,0,2517360,0,0,1440,3323040,0,129360,0,0,275280,1698480,682560,0,0,0,1622880,296880,0,2868480,1523760,0,0,242880,1838160,0,0,0,0,1125360,0,996240,0,0,0,10560,0,0,0,0,0,0,0,1130400,285840,0,0,0,0,1116000,0,2390880,0,0,8880,0,0,0,541200,0,0,19920,0,377040,0,1239840,0,0,0,139920,0,0,0,1380000,0,0,0,0,0,89520,0,0,0,0,153360,404880,1609920,0,12000,103200,18720,2880,0,0,0,0,0,0,0,0,457680,42960,0,0,265200,0,0,122160,0,0,0,971040,0,1079040,0,313920,0,0,0,0,0,0,0,0,0,0,0,0,110160,0,0,0,0,0,0,2728320,0,0,0,0,1839120,0,0,389040,0,0,1300080,3466320,876240,5523360,7102800,0,10560,0,0,2122800,19200,11520,0,2946000,0,0,0,0,285840,0,0,278880,0,232320,0,0,132240,0,0,0,0,1799760,0,1440,3564480,0,1248000,111840,0,0,0,0,0,8880,160320,7819200,0,1421040,0,0,1144560,953040,0,0,0,94080,0,0,0,1211760,2009040,1542720,0,0,0
OLLL,13920,61440,0,0,0,0,7680,0,0,0,0,0,1564800,0,121680,493920,124560,0,43200,2504400,0,0,235200,0,0,0,0,0,0,0,0,15600,0,0,2880,0,0,0,2200080,0,2333280,0,0,0,0,0,0,0,227280,875040,0,0,111120,0,4079280,0,113040,567120,0,0,720,527280,0,3606720,0,0,109440,0,0,0,494400,4017840,0,18720,10800,0,12240,0,86160,0,0,0,28560,0,168720,215040,0,0,0,397200,0,0,0,0,0,135360,27120,11280,0,5280,0,33120,0,0,90000,134880,0,88320,0,0,0,0,27120,0,0,0,1035120,0,4355040,0,4123920,0,0,0,0,0,0,0,0,51360,0,0,0,0,0,0,0,4039920,134400,0,0,0,0,0,0,0,0,101520,0,182160,0,538320,0,74880,0,968640,0,446400,442080,0,5760,0,0,0,182640,993840,1546320,0,63360,2459280,0,0,72720,168000,0,0,0,12480,0,53280,31920,837120,0,0,2142720,0,0,95520,0,965280,88560,0,0,0,84960,0,175680,1421040,0,666720,2697840,0,0,144480,0,0,0,0,0,0,6230880,0,0,0,0,0
OLLR,105600,0,0,0,1998000,57120,0,0,0,80160,616320,0,0,187200,29280,0,0,379680,1662720,0,0,716160,0,0,0,480,0,0,0,114720,0,0,117120,2318640,0,0,0,1390800,0,0,0,110160,172560,0,0,89520,0,0,0,0,6720,0,0,116160,0,0,0,1344960,0,0,0,1146960,0,13440,0,0,67920,0,0,3840,0,1680,0,3551760,74160,0,93600,0,0,0,0,3324960,0,0,0,114960,0,0,6000,0,0,0,738000,0,0,106080,0,34320,2511360,0,0,2212800,67200,0,157680,0,0,0,0,0,0,0,0,831840,0,0,0,0,2359200,3095760,3421200,0,0,0,0,0,0,0,0,62160,211440,0,0,0,1671840,0,0,103440,50640,0,0,0,0,0,0,0,0,0,0,0,0,0,31680,0,125760,0,0,1000800,0,0,582000,0,0,0,104640,0,185040,0,0,0,225600,0,0,0,0,0,0,0,0,491760,0,4612560,1181280,0,159360,11280,0,0,0,760560,0,0,450240,0,0,0,184320,0,666720,0,0,0,0,0,0,0,0,0,0,0,0,0,4811040,63360,0,0
CEPVL,0,0,0,805920,0,0,547680,0,0,0,0,3600,1639680,0,208560,0,261840,0,0,0,0,0,201600,0,0,0,330720,0,82080,124800,0,0,0,0,0,0,0,0,0,0,0,0,0,73200,0,0,55200,0,0,0,0,396240,309360,228960,1551360,0,1920,0,307200,0,1950960,0,0,0,0,0,0,2460720,0,0,3153600,0,0,409920,0,0,10080,1198560,235200,2283840,277440,0,10560,0,0,72480,0,94320,0,0,2977920,0,0,0,3177600,30240,0,1157040,0,0,136560,0,0,0,0,0,0,217440,0,0,0,0,104880,0,49680,0,1429440,0,0,0,86640,579360,269760,0,0,0,0,0,0,0,0,39600,0,0,0,0,0,1893600,0,0,0,0,0,0,0,203760,0,443760,0,0,0,2391600,623760,0,0,0,269520,2901360,1746720,0,580560,795840,0,0,27360,1463760,0,0,370560,0,0,0,629520,0,0,0,0,0,0,0,2640,1200,0,0,1942560,0,1846560,2686560,81120,113280,176160,0,0,0,0,0,0,0,2697840,0,2400,0,0,0,2065920,0,1109760,0,0,0,1710960,960,0,43920,62640,0
AVKL,3703680,1907520,0,39840,0,0,0,0,0,0,305520,0,0,148560,0,0,30960,1734720,0,0,0,2364240,416880,0,960,353280,0,0,0,0,0,0,0,0,628560,0,580800,0,0,0,0,0,114480,0,0,52800,34560,0,4402560,2683440,0,0,0,0,252720,0,0,608880,0,0,0,1446720,0,0,0,23760,0,0,0,0,0,0,0,0,2500800,108480,0,156000,4800,368400,0,0,0,0,42960,0,0,916080,0,0,0,1026480,0,0,0,11397600,0,96240,0,0,0,0,0,0,131280,88080,18960,0,58800,425760,0,0,0,0,0,222720,144000,0,0,0,400320,0,0,0,0,132960,0,1121280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274800,0,0,205440,0,0,2952000,0,41520,13941840,6261360,14400,3888480,4446000,0,4903200,0,0,0,9237840,0,550320,40080,0,0,0,0,724320,0,0,0,0,0,0,0,0,0,47520,0,0,3073200,0,0,0,2100960,0,0,0,0,1330080,0,4209840,1144560,0,0,0,0,1320720,0,0,0,0,0,0,0,1439760,309600,1592400,0,44160,0
PVPL,4320,0,0,0,0,0,26160,0,0,0,289200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808560,0,0,2448480,657360,0,0,0,0,29520,0,5846400,0,0,0,0,0,0,0,0,0,0,0,397440,0,0,0,0,0,0,0,1088400,0,0,346080,0,0,1200,0,0,0,183360,0,489360,0,15840,0,0,0,0,0,0,0,4080,68640,0,0,0,0,65760,0,0,0,0,31920,0,2160,0,0,0,0,0,0,0,0,88320,0,0,0,0,0,858480,0,0,0,0,0,106320,0,0,100560,0,0,0,0,0,245040,3641040,0,0,0,0,0,0,0,0,535200,0,523920,0,0,0,0,0,0,3963600,0,0,0,0,0,0,0,5662800,0,0,487200,2880,0,1768080,326400,0,0,0,0,0,0,2040720,0,0,0,0,0,0,0,0,0,128880,0,51120,0,0,0,0,0,0,0,0,15120,0,973920,0,18960,233760,0,6720,0,0,0,0,0,2160,953040,0,0,0,1320720,0,0,0,0,0,0,0,0,459120,4486320,0,233280,1794720,0
