Cell,Volume_nm^3
RMGR,1158604390
AIYR,1326757969
AIYL,1399568465
RMEV,1079581081
AIZL,1959234109
AIZR,1849465241
RIAR,2272416235
RIAL,2550996664
RIBL,1584501882
RIH,2575771893
SAADL,907900354
ASGR,541550182
AVL,883655966
RIR,1370930544
RIVR,1212941598
ADFL,896683212
RIVL,1087522734
ADFR,780506234
SMBVR,1187585720
SMBVL,1109988474
AIAR,1004274974
PVT,1059337011
DVC,1634665758
AVKL,1026613575
AVKR,1171032637
ASIR,712842936
FLPL,278575185
AWAR,570277232
AIMR,680919039
AIBL,1848749588
BDUR,517737021
SIAVR,515050045
SIAVL,559471656
BWM-VR07,37396152
ASHL,1203061391
SMDDR,1750327623
PVQR,928995082
RIFR,919943249
DVA,1821607198
PVCR,320193167
AWAL,570446315
AIAL,1166224916
BWM-VL07,40527462
BWM-VR03,367867985
BWM-VR01,509546332
BWM-VR02,517999165
BWM-VR04,328815083
BWM-VL01,637823877
BWM-VL04,395424563
BWM-VL06,102558597
BWM-VL02,777051176
BWM-VL08,60331130
BWM-VR08,42979819
BWM-VR06,124709765
BWM-VR05,49808670
ASJL,984139694
PVQL,1180363653
AIML,732721315
ASGL,575921192
RMGL,1303786291
BDUL,419253452
AVBR,897347747
BWM-VL03,409349652
BWM-VL05,53837824
PVCL,451463086
AUAL,1139389235
PVPL,659994705
ADLL,1076941291
AWCR,1491759267
URBL,732984770
AVAL,870961643
ALML,369763287
AINL,1003434803
ADLR,1097477652
AVER,883505233
AVEL,996938874
SIBDR,743567523
RIMR,2660817960
RIML,2907245117
RIGL,1487654092
AVHL,534229811
AVJL,427423170
SMBDR,1280139591
SAAVL,1077549465
ASJR,798020075
URBR,592147906
ASKL,814431600
SMBDL,1191831142
AVHR,610986885
AVJR,533556101
BWM-DL06,85760409
URYVR,838323404
ASER,1497526435
URXR,1092398612
BWM-DL07,23301980
BWM-DL05,138841948
BWM-DL02,545827061
BWM-DL04,305863065
BWM-DL08,67669852
ALA,457121464
BWM-DR08,62673387
BWM-DR03,288960020
BWM-DR07,49947607
BWM-DR01,420657233
BWM-DL01,455008583
BWM-DR05,105836707
BWM-DL03,341574942
RIS,2742203187
AVAR,956185968
AWCL,1354165125
RIBR,1628413624
OLQDR,711701299
BWM-DR06,124025569
BWM-DR02,527488778
BWM-DR04,237865533
SIADL,607980093
RMEL,873954017
URYDR,755035013
URYDL,936664104
IL2DR,687471329
OLQDL,658944819
SMDDL,1682699714
SMDVR,1722663567
IL2R,749887815
IL1L,825883361
IL1DL,966877511
IL2DL,583140638
URADL,564229570
IL1VR,841224028
IL1DR,927759073
RIPL,421059624
URADR,564677836
URAVR,438597058
OLQVR,595896565
IL2VR,580698767
URAVL,484823531
IL1VL,918437232
IL2VL,625340579
OLQVL,689399398
IL1R,863592775
OLLL,1255456112
OLLR,1165414891
IL2L,736148848
RMED,1119989268
RMER,937754623
CEPDL,942954250
URYVL,848869457
RIPR,476648570
URXL,1012485324
CEPDR,1079072522
RMDVL,2036338524
RMDVR,2060403343
RMDR,1741510410
RMDL,1543505182
SIADR,621608959
SIBDL,703275991
ALMR,570348011
AINR,1041878220
SIBVL,925522984
BAGL,1496156733
BAGR,1222481018
CEPVR,828655534
CEPVL,980004372
SIBVR,973193871
RID,441366609
RICR,1347517153
RICL,1363327057
AVDL,552953446
AVDR,535498588
RIFL,851855278
AUAR,1205740503
ASIL,742796820
PVR,1133673185
AIBR,1897022095
ASHR,1124302848
ADAR,795363246
AVBL,1230261452
RIGR,1596737454
ADAL,862132633
AFDR,713009397
ASEL,1169573806
AWBL,619603558
AWBR,562136350
PVPR,662435266
RMDDR,1908842168
SAADR,846035681
SAAVR,1006796799
ADEL,450701557
ADER,369688576
SMDVL,1707191828
RMDDL,2112626360
AFDL,737734819
ASKR,690278891
FLPR,193594654
CANR,38887751
CANL,48564797
DB1,144345661
excgl,891096924
excduct,8372879
SABD,98469150
