Cell,Volume_nm^3
URYVR,708728640
IL2VL,494747520
RIBL,1521060480
OLQDR,528575040
RIR,1049557920
BWM-VR07,99728640
AIAL,1118766240
RIMR,2832348000
AIYR,1258036800
ASJR,715020960
ALNL,115933440
BAGL,1209191520
IL1VR,721812960
AFDR,737263680
OLQDL,594308640
RIS,2876927520
FLPR,419359200
BWM-DR07,61358880
PVCL,531067200
AVKL,1149228000
IL2DL,551192640
AIBR,1758806400
SIAVL,741384480
IL1DR,757740480
URXL,1103575200
ASKL,787236480
ALA,425210880
BWM-VL07,31784640
SMBVR,1027813440
DB1,235614240
AINR,982708320
IL1R,869837760
IL2DR,497082240
RMGL,1130995680
BWM-DL04,333912000
RIVR,967330560
SAADR,729694560
SIBDR,536517120
URYDL,815328960
AIML,616707840
IL2VR,526048320
BWM-VL08,65304960
DVC,1454358720
RMDR,1466300160
RIBR,1376208480
ASER,1562535840
ADLL,1004172480
BWM-VR06,145179360
BWM-VR04,319400640
OLLL,1315327680
URBL,648006240
AVBL,1061063520
AWBR,589941600
AVBR,894107520
AVDR,478160160
BWM-VL04,299513760
ASIL,761652000
RMER,944663040
AVHR,609763200
AIZR,1582521120
DVA,2005506240
SMBVL,1158606240
BAGR,1209782400
AWCR,1081660800
BWM-VL02,391901280
BWM-DL03,250459200
RMHR,892405440
BWM-VL03,337113120
URADR,386959200
IL2L,806089920
VB2,336314880
OLLR,1224943200
RMHL,1145784960
IL1L,860589600
BWM-VL01,351803520
AVFR,235531200
URADL,416963040
SAAVR,920873280
IL2R,657498240
URAVR,401658720
PVR,911718240
BWM-VR05,164858400
ASHR,1036167360
RMEL,933208800
URYVL,784055520
URXR,1099481280
SMDDR,1596323520
AVKR,1202769600
AVFL,420552000
BWM-DR04,268941120
RIPL,396133440
RIPR,501909120
AWBL,552567360
AWAL,725568000
BWM-DR06,437421600
SIADR,531576960
AVAL,1637766240
BWM-DL06,145868160
OLQVL,579320160
SMDVL,1615490880
URYDR,749617920
BWM-DL07,47046720
RMDL,1426585440
AWCL,1419735360
AUAL,1059598560
VA1,143149920
RIH,2729641920
BWM-DL05,144233760
RIVL,956082240
ASHL,1141679520
RIAR,2513955840
RMDDR,1821880800
SMBDR,1189843200
RMEV,1017614400
RIAL,2295159360
URAVL,408802080
BWM-VL06,290216160
SIBDL,588857280
IL1DL,858897600
AVER,875245440
SIAVR,591995040
AFDL,776055360
RIGL,1440003360
SAAVL,876449280
BWM-VL05,220321440
ASEL,1143239040
SMBDL,1204355040
CEPDR,844397760
RMDVR,1927464960
AIAR,946342560
RIFL,840133920
AVEL,1012912800
ASKR,713086560
AIMR,602298240
RIGR,1499827200
SMDVR,1589007360
CEPDL,983316480
ASJL,796473120
CEPVL,945304320
AVDL,432266880
RIFR,790266240
SABD,2889120
OLQVR,590092800
BWM-DR02,284515680
SIBVR,899817600
ADLR,1108732800
AWAR,652015200
ASIR,561327360
SABVL,12953760
BDUL,446367360
VB1,748860000
ASGR,466138560
RMDDL,1966612800
BWM-DR03,253442400
AIYL,1302396000
AVJL,458253600
FLPL,326561280
IL1VL,832585440
AIBL,1692826080
BWM-VR02,294876000
excgl,871997280
ADFL,718515360
ASGL,517760640
SIADL,661206240
SMDDL,1574939040
URBR,567829440
SIBVL,823916160
RICL,1155127680
SAADL,676918080
ADEL,661015680
ADAL,730778400
AIZL,1676198880
CEPVR,840823680
RIML,2611699680
AINL,923786400
AVHL,585190080
RMED,1073091360
ADFR,709704000
PVQL,887442240
PVPR,648514560
PVT,1314253440
PVPL,723160800
PVCR,667545600
PVQR,836064960
ALMR,541472160
BWM-DL08,56863680
BWM-DR08,42150720
ALNR,106329600
CANL,19743840
AVAR,3220567200
AVJR,457414560
AQR,1003993920
RMDVL,1832143200
RMGR,999696480
AVM,234060000
RICR,1250527680
BDUR,436482720
ADER,522288480
ADAR,778539840
ALML,547311360
BWM-VR08,56398560
SDQR,646423200
RID,421237920
BWM-DR05,124177920
AUAR,1050054240
BWM-DR01,273546720
BWM-DL02,383291040
BWM-DL01,446657280
BWM-VR01,330783360
BWM-VR03,308422560
AVL,770459520
CANR,29215680
