,RMGR,AIYR,AIYL,RMEV,AIZL,AIZR,RIAR,RIAL,RIBL,RIH,SAADL,ASGR,AVL,RIR,RIVR,ADFL,RIVL,ADFR,SMBVR,SMBVL,AIAR,PVT,DVC,AVKL,AVKR,ASIR,FLPL,AWAR,AIMR,AIBL,BDUR,SIAVR,SIAVL,BWM-VR07,ASHL,SMDDR,PVQR,RIFR,DVA,PVCR,AWAL,AIAL,BWM-VL07,BWM-VR03,BWM-VR01,BWM-VR02,BWM-VR04,BWM-VL01,BWM-VL04,BWM-VL06,BWM-VL02,BWM-VL08,BWM-VR08,BWM-VR06,BWM-VR05,ASJL,PVQL,AIML,ASGL,RMGL,BDUL,AVBR,BWM-VL03,BWM-VL05,PVCL,AUAL,PVPL,ADLL,AWCR,URBL,AVAL,ALML,AINL,ADLR,AVER,AVEL,SIBDR,RIMR,RIML,RIGL,AVHL,AVJL,SMBDR,SAAVL,ASJR,URBR,ASKL,SMBDL,AVHR,AVJR,BWM-DL06,URYVR,ASER,URXR,BWM-DL07,BWM-DL05,BWM-DL02,BWM-DL04,BWM-DL08,ALA,BWM-DR08,BWM-DR03,BWM-DR07,BWM-DR01,BWM-DL01,BWM-DR05,BWM-DL03,RIS,AVAR,AWCL,RIBR,OLQDR,BWM-DR06,BWM-DR02,BWM-DR04,SIADL,RMEL,URYDR,URYDL,IL2DR,OLQDL,SMDDL,SMDVR,IL2R,IL1L,IL1DL,IL2DL,URADL,IL1VR,IL1DR,RIPL,URADR,URAVR,OLQVR,IL2VR,URAVL,IL1VL,IL2VL,OLQVL,IL1R,OLLL,OLLR,IL2L,RMED,RMER,CEPDL,URYVL,RIPR,URXL,CEPDR,RMDVL,RMDVR,RMDR,RMDL,SIADR,SIBDL,ALMR,AINR,SIBVL,BAGL,BAGR,CEPVR,CEPVL,SIBVR,RID,RICR,RICL,AVDL,AVDR,RIFL,AUAR,ASIL,PVR,AIBR,ASHR,ADAR,AVBL,RIGR,ADAL,AFDR,ASEL,AWBL,AWBR,PVPR,RMDDR,SAADR,SAAVR,ADEL,ADER,SMDVL,RMDDL,AFDL,ASKR,FLPR,CANR,CANL,DB1,excgl,excduct,SABD
SAADL,159744,0,0,0,0,0,0,115968,0,0,4608,0,0,0,1098752,0,0,0,144896,1397248,0,156160,355584,63232,257536,0,0,0,0,464640,47872,0,0,0,0,0,0,115712,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,250368,0,1024,0,0,0,0,0,0,0,1024,227840,0,0,0,195840,88320,23040,1919488,1125888,1193472,0,31488,70144,92928,0,201728,0,550912,44800,7680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308992,0,4608,0,0,0,0,399616,0,0,0,0,0,653568,1584896,126976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288768,0,0,0,0,84736,0,0,0,0,468224,4096,9216,0,134144,347392,0,501504,0,0,0,0,186112,33792,192768,20736,22528,4608,0,0,0,0,721664,0,38400,1024,477184,82944,0,0,0,0,0,0,1127168,966656,615936,273664,37376,286464,0,0,0,0,0,0,542720,0,0
ASGR,0,29184,0,0,0,113664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439488,0,0,0,0,493824,0,45312,1006080,0,0,0,0,0,0,0,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718592,0,0,0,254464,0,0,0,0,0,0,0,0,0,0,19456,202496,0,0,0,0,0,0,0,450304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98048,0,0,0,51968,0,0,0,19200,0,0,0,0,0,0,0,407808,0,0,0,0,0,0,0,0,7936,0,0,0,0,0,0,0,0,0,42752,0,0,0,0,0,0,91648
AVL,12288,0,0,629248,0,0,0,0,268544,157440,0,0,0,0,1104384,0,5120,0,0,0,0,1826048,1007872,1223680,2075392,0,0,0,0,68352,0,0,0,0,0,19712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,10496,0,0,0,0,18688,0,0,0,0,60672,0,0,243712,166912,34816,0,0,347392,0,0,5120,0,0,0,0,0,221952,0,9984,0,0,0,0,0,0,0,0,0,0,0,0,0,3309824,0,0,190720,3072,0,0,0,0,153600,43008,91392,0,0,73472,178688,0,0,0,0,0,48896,3328,0,0,4096,55808,45824,47360,23040,62720,62208,0,55808,68864,0,427008,472832,0,229120,0,0,0,0,0,0,0,575232,0,0,0,0,14848,0,0,0,408832,107520,3584,0,0,0,0,0,0,0,281856,0,0,0,1021184,0,0,0,0,0,0,0,202496,0,0,2560,121856,0,0,0,0,0,0,0,0,0,0
RIR,0,266752,382976,815104,540928,465920,323584,381696,0,669696,0,0,0,0,837632,1041920,51200,1043968,0,19456,0,0,0,0,0,0,0,0,0,51200,0,0,0,0,37888,0,0,0,1302528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73472,0,0,23296,115712,1271552,0,0,0,30976,0,0,0,167424,145152,22272,0,512,446976,913408,0,0,0,0,0,0,0,909568,0,0,84992,0,769536,0,0,0,0,0,0,0,0,0,0,0,0,0,66048,60160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43264,0,0,0,6912,28160,0,0,0,0,0,0,0,39424,0,952320,0,0,0,0,0,0,0,0,0,118784,672000,510720,0,0,46080,0,0,0,0,66048,0,445440,0,0,93440,64768,0,59648,734208,0,0,9472,111872,33024,1165568,0,0,23552,0,0,0,0,8960,0,0,0,0,0,110336,0,0
RIVR,0,101888,0,0,0,0,384512,709376,0,452096,1098752,0,1104384,837632,0,0,1900288,0,2560,43776,0,3584,517632,40960,213248,0,52992,0,0,52480,0,2304,247552,0,0,0,0,0,28160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205824,50688,36096,0,0,0,0,0,0,0,0,199424,0,49664,0,173824,39680,449792,565248,127744,363264,0,11264,54016,158720,0,211456,0,0,57600,0,0,0,0,0,0,0,0,0,0,0,0,0,51456,0,0,0,0,286976,483328,8192,21248,18944,0,0,0,5376,0,78080,105472,38144,0,820736,1601536,79616,0,0,0,0,0,0,0,84480,0,0,0,0,0,0,0,137984,0,0,0,0,0,0,0,0,0,15872,32768,69888,156160,0,4096,426240,69120,0,0,52736,116480,0,512,0,125440,52736,78848,69888,117504,0,32256,0,387584,1347072,0,33536,332288,0,83456,0,0,0,0,4352,139264,2816,476416,0,0,182272,846336,0,0,0,0,0,0,592640,0,0
ADFL,0,7680,1513472,0,1897984,2560,0,480000,159488,71936,0,0,0,1041920,0,0,0,99840,0,759552,0,0,0,0,0,0,0,0,0,126976,0,0,172032,0,724736,0,0,0,119296,0,916992,193792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,0,0,0,0,0,0,0,0,932352,512,0,39936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282368,1103616,0,0,0,36608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,0,0,0,0,0,7936,0,706560,0,0,0,0,0,0,193536,0,0,45056,0,0,0,0,0,0,0,0,0,0,66048,61696,0,0,117760,0,0,246272,0,49920,0,214016,1271552,58112,7424,0,0,0,0,0,0,0,662784,0,0,0,0,0,0,0,0
RIVL,50432,0,0,0,0,0,334080,503040,71680,322560,0,0,5120,51200,1900288,0,0,0,266240,0,0,0,306944,265216,55040,0,37376,0,0,790016,0,563968,0,0,0,1312768,0,0,17664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113152,0,0,0,85248,0,0,0,146432,455936,0,0,0,43264,130560,217856,110592,657664,0,61184,0,147456,415488,0,0,0,56320,0,0,0,1024,0,0,0,0,0,0,0,0,0,14336,84992,0,0,0,0,510208,3584,0,0,0,0,0,0,0,0,87552,3072,43776,0,0,35072,0,93440,0,0,0,0,0,0,85504,0,24832,1024,0,0,0,0,0,0,0,2048,0,0,0,0,0,0,44544,408832,0,0,0,216576,508160,0,16384,88064,160256,99840,0,0,0,43008,388352,581376,44032,0,0,0,0,71936,99328,0,48896,12800,1118720,53248,0,0,0,0,0,317696,1184512,182528,0,0,847616,0,0,0,0,0,0,0,498944,0,0
ADFR,0,910080,0,0,4864,1659392,334848,0,0,60160,0,0,0,1043968,0,99840,0,0,819456,0,212736,0,0,0,0,2048,0,782080,0,0,0,124160,0,0,54784,0,0,7168,28928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109312,0,0,0,0,0,0,0,0,0,0,99584,0,0,0,0,0,0,0,648960,0,179200,0,0,0,0,0,0,0,0,89600,414464,705024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22528,134400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27136,0,0,0,112128,0,0,0,0,0,0,1081088,0,0,45056,340992,7424,0,0,0,916736,176384,0,990720,16640,0,0,0,0,0,0,0,0,0,0,0,0,44800,0,0,0
SMBVR,283136,387072,0,85504,0,1509888,181504,0,0,11008,144896,0,0,0,2560,0,266240,819456,0,148736,290048,0,0,10752,16896,0,0,137216,320000,0,0,1271808,0,0,0,34816,96512,294656,39936,14848,0,0,0,42496,135936,92672,79360,0,0,0,0,0,74752,175616,0,0,0,0,0,0,0,173568,0,9472,0,0,0,0,0,0,0,0,0,809984,30720,18432,828928,220416,0,90368,81408,89088,1751808,412672,130304,23808,0,30976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267008,0,0,0,0,0,0,0,0,0,0,0,0,0,109568,0,173056,0,0,0,0,24832,0,0,0,13056,329472,21248,0,0,0,0,35328,0,115968,0,0,0,0,0,2304,0,0,796416,0,0,179712,0,0,79616,0,265728,0,0,405760,0,59136,0,686592,0,67072,0,0,0,0,50688,23808,731648,47616,10496,308224,0,5120,0,0,312832,43520,2816,1349888,0,0,0,131584,110080,0,20992,0,0,0,0,1461760,0,152064
SMBVL,0,0,168960,128768,1150464,216832,0,125184,0,23808,1397248,0,0,19456,43776,759552,0,0,148736,71936,0,0,0,0,10496,0,0,0,0,25856,0,0,1481472,0,732160,0,0,0,1280,0,29184,120832,125440,0,0,0,0,159232,240640,32768,38144,61696,0,0,39680,103936,52992,305408,0,316416,29440,144640,174592,0,80384,0,68864,481024,0,74496,0,0,0,0,0,57856,0,0,148224,204544,0,0,212736,0,0,0,12544,2117120,235520,140288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0,0,0,452096,477952,0,86016,0,0,0,0,0,0,0,0,0,0,0,41472,0,372480,0,121088,0,190464,0,0,0,0,0,85504,0,0,650496,126976,54784,55808,953600,0,0,179968,0,0,0,360960,178688,5376,22528,412928,0,90880,61440,0,0,0,0,0,0,111360,48640,267008,0,73984,93952,0,0,66816,72192,199424,18176,0,0,259328,0,0,0,0,0,0,1001216,0,0
AIAR,22016,93440,0,0,0,454400,0,0,0,0,0,1439488,0,0,0,0,0,212736,290048,0,0,0,0,0,0,395520,0,272384,1432320,0,0,0,0,0,0,0,775424,823296,0,42240,0,165376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58880,1430016,0,0,0,85248,267520,0,0,0,0,0,0,0,30464,0,0,622592,0,106240,0,0,0,0,0,479232,35584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433152,0,3840,0,0,0,0,0,17152,0,0,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47616,0,0,0,15872,0,0,0,1792,0,0,0,0,0,0,0,2229504,536576,70656,0,0,0,1792,329216,0,269312,0,0,0,0,0,0,0,0,0,1556736,0,0,0,0,0,0,0
PVT,0,0,0,511744,0,0,0,0,194048,0,156160,0,1826048,0,3584,0,0,0,0,0,0,0,3497728,2384384,2183424,0,105984,0,0,386560,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13056,0,0,0,0,0,84736,0,0,17920,1161728,0,0,0,0,0,0,0,251136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131584,0,0,47104,65536,0,0,0,0,133120,59904,136448,0,286208,0,0,0,0,0,0,0,0,48384,0,0,0,18176,0,26624,21504,2560,105984,0,126464,0,0,277760,24832,0,186624,0,0,0,0,0,0,0,1024,0,0,0,0,0,0,0,0,0,133888,0,0,0,0,0,0,0,0,320768,0,0,0,1147904,0,0,0,0,0,63232,0,179456,0,203264,112640,104192,0,0,0,0,0,0,0,0,0,0
DVC,71424,0,0,80640,343296,160256,0,0,273408,178432,355584,0,1007872,0,517632,0,306944,0,0,0,0,3497728,0,2695424,2967296,0,247808,0,0,518656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20224,0,0,0,0,0,0,0,0,649216,0,0,0,146176,76032,0,128000,108032,2210048,0,0,0,168448,0,0,0,131328,0,0,0,192512,0,107520,0,0,0,0,0,0,0,0,0,0,0,0,0,8704,251904,0,366336,179968,0,0,0,109312,0,66560,123904,0,2560,12800,89344,0,0,0,0,0,50688,25088,0,0,45312,252672,56064,0,0,0,177664,0,166144,109056,0,341760,145152,0,265216,0,0,0,0,0,0,0,0,0,0,0,0,189696,0,0,0,0,498688,0,0,0,0,0,0,0,0,1812992,0,39680,0,1470720,0,0,0,0,0,229888,0,2560,10496,455168,0,0,0,0,0,11520,0,0,0,0,0,0
AVKL,558848,0,0,21504,768,155136,0,0,26368,0,63232,0,1223680,0,40960,0,265216,0,10752,0,0,2384384,2695424,0,3530240,0,0,0,0,634624,0,119552,82944,0,0,8448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443392,0,0,0,0,0,0,0,0,0,0,5376,0,0,0,600064,775936,0,796672,1303552,519680,0,0,365824,15360,0,0,0,245760,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998144,6912,0,0,6912,0,0,0,440320,4096,0,0,0,0,140032,30976,0,0,0,0,0,0,29440,0,0,0,0,0,0,0,0,0,0,0,0,0,5888,0,0,17920,0,0,0,0,0,66304,374016,296704,0,0,0,0,512,0,0,0,0,0,84224,0,0,0,0,0,0,0,819200,0,0,258304,507136,0,0,0,0,0,302336,0,483072,130048,105984,202496,226304,0,0,0,0,0,0,0,0,0,0
AVKR,501760,0,0,2816,214784,0,0,27904,0,0,257536,0,2075392,0,213248,0,55040,0,16896,10496,0,2183424,2967296,3530240,0,0,0,0,0,418048,0,152576,81920,0,0,199936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8960,0,0,410880,0,512,0,0,0,0,229120,0,0,0,0,0,0,0,730880,513792,0,1134336,1164800,362752,0,0,249856,151808,0,0,0,260352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996352,322816,0,0,0,0,0,0,207360,0,0,0,0,0,226560,166912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475904,237824,414976,0,0,0,0,0,0,0,0,0,287488,73216,17664,0,0,0,0,0,0,630784,0,0,768,350208,0,0,0,0,0,0,0,65536,125952,133632,215040,59136,0,0,0,0,0,0,0,0,27392,0
ASIR,0,423168,8448,0,0,2048,0,0,0,0,0,493824,0,0,0,0,0,2048,0,0,395520,0,0,0,0,0,0,158720,9472,0,0,0,0,0,0,0,0,0,0,0,0,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263296,0,0,0,172544,179200,0,0,0,2304,0,0,0,0,0,29440,173312,0,0,0,0,0,0,0,407296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59392,1146112,86784,66048,0,0,0,0,0,10752,0,27136,0,0,0,42752,0,0,0,0,0,17664,0,0,0,0,0,0,0,0,0,27392,0,28416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942080,0,87552,0,0,0,0,0,0,0,0,0,99584,0,176896,0,0,0,0,0,130304,563456,0,289792,0,0,0,1792,0,0,0,0,0,189952,0,0,0,0,0,0,30720
FLPL,0,0,0,0,0,0,0,0,0,1245184,0,0,0,0,52992,0,37376,0,0,0,0,105984,247808,0,0,0,0,0,0,44800,32256,0,0,0,0,0,0,0,164864,14336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18944,0,0,0,0,0,473344,0,0,0,0,0,0,0,0,0,0,88576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158208,0,0,0,0,75520,220672,0,353536,25088,91648,19456,0,0,0,0,256,0,96000,0,430848,597504,0,0,0,0,333824,0,0,0,0,0,0
AWAR,38656,367616,0,0,0,629504,1536,0,0,0,0,45312,0,0,0,0,0,782080,137216,0,272384,0,0,0,0,158720,0,0,203520,0,0,132096,0,0,30976,0,560128,0,58112,0,98816,76288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133888,0,0,0,0,0,0,0,0,0,0,0,336384,0,0,0,0,0,0,144640,0,0,0,139008,0,0,0,14336,0,0,0,2592768,75264,0,0,0,0,0,18944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60672,0,0,2560,0,0,0,122368,0,0,0,0,0,0,0,0,0,144128,1456384,0,0,0,0,0,0,0,1530368,56320,0,0,0,0,0,0,0,0,131840,0,0,0,0,0,0,0
AIMR,289536,0,0,0,0,28928,0,0,0,0,0,1006080,0,0,0,0,0,0,320000,0,1432320,0,0,0,0,9472,0,203520,0,0,38400,0,0,0,0,0,959232,132608,0,38656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31488,0,196352,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,154880,0,0,0,0,0,0,32000,0,0,1543424,0,0,0,120064,27648,0,0,25856,102144,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,20992,0,0,0,44032,0,3328,0,0,0,51456,0,13312,0,0,0,0,0,7680,0,20224,0,0,0,0,0,0,0,25344,0,16128,0,0,0,0,0,0,0,0,0,0,0,0,0,39424,235008,0,117504,0,0,50688,0,0,0,190464,0,0,36864,0,0,0,0,8960,83968,10496,0,0,0,0,0,0,49152,0,0,0,0,0,0,0,0,0,104960,4864,0,0,0,0,0,0
AIBL,326400,0,389888,0,86272,543488,56832,0,0,31744,464640,0,68352,51200,52480,126976,790016,0,0,25856,0,386560,518656,634624,418048,0,44800,0,0,0,0,4864,0,0,894976,1088512,0,0,151040,0,112640,2776064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329984,18176,498176,0,0,0,0,0,0,36608,101632,451584,459520,0,716288,0,140544,0,344576,790272,0,2302464,241920,0,0,0,381184,174080,0,0,500224,0,0,0,0,163584,161280,172544,0,0,0,0,0,0,0,0,0,0,0,0,0,271104,14080,1345792,375552,0,0,0,0,512,0,135168,0,0,0,0,313088,0,0,0,0,0,63232,0,0,0,49664,0,66048,0,0,0,0,0,0,13056,0,68864,0,0,0,0,16640,0,0,0,0,0,526848,66304,0,228352,78592,327168,0,0,31744,37632,0,0,0,0,20736,197632,141312,403456,0,364288,0,157440,645632,1285376,73728,0,2011392,149248,161280,168192,0,409600,45824,0,0,6400,0,358144,0,0,0,0,0,0,0,0
BDUR,286464,0,0,0,0,0,0,0,0,0,47872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32256,0,38400,0,0,0,0,0,0,0,323584,1744128,132096,400384,0,0,0,5632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140032,25856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68352,499200,0,0,0,16640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,0,0,0,0,0,0,0,0,0,0,0,75008,0,0,0,0,0,0,0,0,0,41984,0,88576,0,0,0,0,0,0,0,5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048576,0,6912,0,0,116992,0,0,0,58624,0,273408,0,0,0,0,1384448,0,13312,420352,180480,0,0,0,0,0,0,1280,0,0,0,0,0,0,0,0,0,19456,0,0,0,23808,0,0
SIAVR,0,0,0,0,0,0,101120,317952,0,0,0,0,0,0,2304,0,563968,124160,1271808,0,0,0,0,119552,152576,0,0,132096,0,4864,0,0,0,0,0,0,0,0,1340416,320000,0,0,0,0,0,0,0,0,0,0,0,0,12544,0,0,0,0,0,0,0,0,0,0,0,152064,0,0,0,0,0,0,0,0,0,0,441856,1528320,254720,0,0,4096,4608,668928,260352,0,143104,0,0,0,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,195840,96256,0,67328,0,0,0,0,41216,0,0,0,0,0,25088,29952,768,0,0,0,0,29952,0,0,0,16896,27136,22528,0,0,0,0,4352,0,5632,0,0,0,0,0,0,0,0,761856,25344,0,225536,813568,44288,0,0,473600,0,0,0,0,703232,0,850432,9984,15872,0,0,0,0,6144,0,57600,105984,35072,0,0,0,0,0,0,5376,0,15872,64000,0,0,425984,51968,0,0,0,0,0,10496,227584,0,99328
SIAVL,0,0,0,44288,0,0,332544,119040,67072,0,0,0,0,0,247552,172032,0,0,0,1481472,0,0,0,82944,81920,0,0,0,0,0,0,0,0,0,117760,14080,0,0,1616640,0,1792,0,23808,0,0,0,0,0,0,3840,0,38912,0,0,0,0,0,0,0,52736,26112,408320,0,0,130304,0,2816,0,0,205312,124416,0,0,0,308992,0,38912,0,207360,0,0,0,8960,43776,0,0,0,835840,144384,116480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3328,0,0,0,0,0,0,817152,0,0,0,0,0,164352,606976,0,53504,0,0,0,0,0,0,0,0,0,0,34304,50432,24576,0,0,13312,0,23808,0,0,0,0,0,0,0,67584,687616,562432,76544,38400,1696512,0,0,600320,0,0,0,28672,352768,12800,119040,954112,0,72192,0,0,0,0,58112,0,0,0,0,392192,0,0,0,0,0,34304,41472,67328,0,0,0,0,0,0,0,0,0,0,213504,0,0
BWM-VR07,0,0,0,0,0,0,8704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74752,0,0,0,0,0,0,0,0,0,0,293632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179200,0,0,0,0,31488,0,0,0,0,0,0,0,13824,0,0
ASHL,0,0,37632,145152,519168,0,0,122112,0,0,0,0,0,37888,0,724736,0,54784,0,732160,0,0,0,0,0,0,0,30976,0,894976,0,0,117760,0,0,48640,70656,75776,24576,0,1527296,531968,0,0,0,0,0,0,0,0,0,0,0,0,0,18176,276736,341504,0,221440,0,435456,0,0,46848,0,0,340224,0,0,114432,0,0,0,0,9984,30720,0,250368,0,204800,79360,0,0,0,0,293888,0,526080,278016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9728,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356096,0,0,0,0,0,42752,1536,0,0,36352,0,0,0,0,0,152064,0,3840,88832,109312,1424384,0,0,0,0,162048,0,1672704,0,1240320,0,804352,417024,235264,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMDDR,566784,0,0,13312,0,0,1189888,1346304,621824,0,0,0,19712,0,0,0,1312768,0,34816,0,0,256,0,8448,199936,0,0,0,0,1088512,0,0,14080,0,48640,0,0,0,0,0,0,0,0,0,77568,0,0,0,0,0,0,0,0,0,0,18688,0,30464,0,200960,0,0,0,0,13312,0,0,0,0,57600,995584,0,0,0,347648,15104,406272,591616,1016064,0,0,0,436480,2038784,0,0,0,0,0,25600,0,24576,0,0,0,360704,0,0,0,29440,0,0,0,0,68864,0,275712,2246144,59648,0,116480,0,0,0,0,71936,0,0,628736,0,94208,351488,427520,0,0,0,0,0,29184,0,0,0,0,0,0,0,0,0,0,0,180480,115456,0,324352,0,880896,0,0,78592,37888,133120,0,158976,123136,1169664,0,0,0,24576,0,0,46336,0,0,46336,475392,361984,7424,0,0,0,0,0,0,0,30208,18176,0,47360,0,0,0,0,0,668416,690432,314112,67328,0,2831616,75008,0,0,0,0,0,0,560384,0,0
PVQR,1004288,0,0,0,0,768,0,0,0,0,0,2816,0,0,0,0,0,0,96512,0,775424,0,0,0,0,0,0,560128,959232,0,323584,0,0,0,70656,0,0,838400,11520,0,216320,45056,0,0,0,0,0,0,0,0,0,0,0,0,0,186624,0,124416,0,0,0,60160,0,0,0,0,0,0,0,0,0,0,0,503552,20480,0,0,0,0,0,32000,6912,0,0,2034688,0,211456,0,57344,0,0,0,183296,64256,0,0,0,0,0,421120,0,0,0,0,0,0,0,0,0,0,0,11264,0,0,0,4864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53760,0,0,0,12032,0,0,0,0,0,0,49408,120576,335616,43008,0,0,0,0,0,0,57856,0,0,0,0,0,0,0,0,0,1313792,0,0,0,0,0,0,0
RIFR,872960,112128,0,0,0,0,0,0,0,0,115712,0,0,0,0,0,0,7168,294656,0,823296,0,0,0,0,0,0,0,132608,0,1744128,0,0,0,75776,0,838400,0,0,140288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26880,0,0,125696,547584,0,0,0,0,0,0,0,0,0,0,0,1024,83712,0,0,341760,0,0,175616,1361152,0,0,78592,99072,0,37376,277248,210176,0,0,93440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52992,0,0,0,0,0,0,0,0,0,34048,0,68608,0,0,0,0,0,0,0,121344,0,0,0,0,0,0,0,0,0,91904,0,0,0,0,0,0,244736,0,0,0,0,20224,0,0,0,0,0,0,0,79616,0,0,20736,114688,1531904,371968,11264,0,0,0,0,0,188416,107520,0,0,0,0,0,0,0,0,869632,28160,0,0,0,0,0,0
