,RMFR,RMFL,BWM-VL02,BWM-DR06,BWM-DL03,BWM-VL01,BWM-VL07,AVFR,ADAR,RMDVR,OLQVL,URBR,URXR,CEPDR,RMEV,RICR,RMEL,OLLL,IL1DR,URXL,OLLR,RMER,RIGL,ADEL,AUAR,PVPR,DVA,AVAR,RMDR,FLPR,RMDVL,BAGR,AIYR,SAADR,BAGL,RIPL,RMGL,AIBR,SAAVR,ASHR,BDUR,IL1VR,SIBVL,RMHL,RIMR,RIBR,BWM-DR02,OLQVR,CEPDL,URAVR,BWM-DL07,BWM-DL05,IL2DL,IL1DL,BWM-DL01,RMGR,IL2R,URYDR,ALNL,PVR,URADR,IL2DR,OLQDR,AVDR,URYVR,ALNR,ADER,SDQL,RIAR,IL1R,AVEL,BWM-VL04,BWM-VL08,RIVL,BWM-VR04,BWM-VR02,ADLR,BWM-VL06,ALA,CEPVL,BWM-VL03,IL1VL,AVER,AIZL,RIVR,AVL,CEPVR,BWM-VR05,RMDDR,SAADL,BWM-VR03,BWM-VR01,BWM-VR07,BWM-VR08,BWM-VR06,ALMR,ALML,RMDDL,AVJL,AWBR,ADAL,BWM-VL05,ASIR,SMDDL,RMHR,SIBDR,BDUL,AVDL,SMBDR,AFDL,PVCR,AVHL,SIAVR,SDQR,AIBL,SMDDR,SMBVR,PVT,SIADR,DVC,SIBVR,ASJR,PVQR,ASGR,ASER,RIFR,AWCR,AFDR,FLPL,RIH,AVBR,AWAR,AIMR,AVM,SMBDL,PVCL,AIZR,AIAR,AINL,AINR,AIYL,AVJR,ASHL,AUAL,AWBL,PVPL,PVQL,ASJL,ASGL,ASEL,AWAL,SIBDL,AIML,ASKL,AIAL,SMBVL,SIADL,SMDVR,RIML,ADFL,BWM-DL08,OLQDL,URYDL,BWM-DL06,URYVL,URBL,BWM-DL04,AWCL,RMDL,AQR,URADL,BWM-DL02,RMED,BWM-DR04,BWM-DR08,RICL,RIS,BWM-DR01,BWM-DR07,BWM-DR03,BWM-DR05,RIGR,IL2VL,IL2VR,RIPR,IL2L,IL1L,URAVL,SAAVL,ADFR,AVAL,RID,AVHR,AVKR,AVKL,SIAVL,RIBL,ADLL,RIR,AVBL,ASKR,RIAL,SMDVL,RIFL,ASIL,AVFL,excgl,VB1,SABD,VA3,VA2,DB1,VA1,VB2,CANL,CANR
SDQL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251520,0,0,0,0,0,0,0,0,0,215280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11640,261960,0,0,0,143640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,0,0,0,0,0,0,0,1490640,0,0,0,99360,0,0,0,76440,0,1157640,0,509280,0,0,0,0,0,0,24600,0,0,0,0,231120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23040,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56400,0,0,0,0,0,0,0,0,0,0,0,0,217680,0,0,188880,0,0,0,0,0,0,0,242160,0,0,0,390480,0,0,0,0,0,0,0,0,0,0,0,0
RIAR,0,0,0,0,0,0,0,0,293280,3033120,0,9960,1803120,1086000,19920,3480,0,16440,0,0,19200,0,0,0,1186440,6840,0,569280,1862280,0,2319840,0,1547280,446760,2505480,0,0,0,623520,154440,0,56880,0,0,248040,1539120,0,240,20040,54000,2640,0,0,0,0,0,0,0,0,0,0,0,37800,0,170280,26880,48000,0,0,238080,360,0,0,489960,0,0,0,0,0,198840,0,0,0,377760,903720,0,1457520,0,4976760,0,0,0,0,0,0,0,0,2915040,0,6960,0,2760,117840,2478720,0,128880,0,0,378000,0,0,1800,73560,0,88080,2526600,354480,0,689640,5880,226800,0,0,0,0,0,26160,23640,0,2092680,0,0,0,0,0,0,3970320,12360,57960,0,0,0,0,0,0,0,0,0,0,132360,0,0,0,0,0,146760,59160,1756800,0,0,0,0,0,7440,0,0,0,70080,3044160,134640,0,0,34320,0,0,0,91680,0,16080,0,0,695040,0,204480,0,0,166320,0,152400,1493160,448680,0,0,0,0,1137840,0,0,879360,0,0,4464840,2510640,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1R,0,0,0,0,0,0,0,9120,0,1443120,0,1415040,462960,0,77520,0,1635000,0,496320,0,1340880,172200,0,0,1440,0,0,0,308520,0,329040,3240,0,0,0,0,0,0,144120,0,16440,554880,0,705000,0,155040,512280,0,0,358200,0,0,0,0,0,69240,1564920,0,0,0,54960,0,0,0,0,0,624360,0,238080,0,149880,0,0,0,28080,389520,34440,0,87240,0,0,0,384720,0,254880,0,0,0,2574600,96960,0,0,0,0,0,50640,0,505680,0,0,0,0,52680,0,917160,67920,0,0,0,0,0,0,53640,11040,0,0,25440,0,0,0,20280,148200,0,0,0,31440,56520,3720,0,0,0,0,53280,0,0,0,10560,600,20640,0,0,0,0,0,0,0,0,0,0,39720,0,0,0,0,0,0,0,225000,0,0,0,0,0,0,0,0,0,51000,416400,0,0,0,85080,25440,0,11040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVEL,0,0,0,0,0,0,0,0,175320,344280,0,0,8880,409560,155880,13200,0,0,2400,406080,2774760,79560,425040,77640,0,478560,702480,0,0,31920,31680,1717800,99600,244080,0,0,222960,801000,29040,0,0,7200,0,9360,578400,2178120,0,136440,71880,0,0,0,151080,3600,0,0,0,766920,0,720,0,0,102120,756240,1361160,0,129720,0,360,149880,0,0,0,180720,0,0,0,0,457440,0,0,0,132000,1573320,122520,33360,413040,0,529440,40800,0,0,0,0,0,0,210840,0,0,0,272520,0,0,429840,0,332880,7200,0,337920,0,3120,0,1035120,0,802200,36240,137160,0,128280,942120,346680,0,0,0,0,0,0,0,63960,0,49560,0,85440,0,27000,240,910080,18720,0,0,0,72480,145560,197760,0,2160,0,17760,0,0,0,0,213840,0,0,382920,0,43080,871200,0,0,0,109920,0,0,9600,0,0,145080,660960,0,0,187320,0,0,80280,749520,0,0,0,0,171240,0,0,0,254640,234720,0,43200,0,348240,122880,0,1089360,827040,3600,444000,0,177600,426480,0,0,811080,111360,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VL04,0,0,4291080,0,0,0,0,0,0,1286400,0,0,0,0,0,0,0,0,0,840,0,496440,0,88800,0,0,0,0,660360,0,0,0,0,0,0,0,320160,0,0,0,0,0,0,0,0,0,0,0,61080,0,0,0,0,0,0,0,0,0,0,163560,0,0,0,0,0,0,0,0,0,0,0,0,410280,0,0,0,0,2719440,0,891240,0,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53520,59640,0,0,4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35280,0,0,0,278400,0,0,0,0,0,0,0,149160,0,180960,847320,0,1455240,0,0,388320,0,0,0,22800,0,0,0,0,0,0,0,0,0,16080,288840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VL08,0,0,7920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291600,0,0,0,0,0,0,0,390480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17520,0,0,0,0,0,0,0,0,0,0,0,410280,0,0,0,0,0,821880,0,991440,0,0,0,0,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39240,0,0,0,0,0,0,0,0,0,0,0,0,0,25320,0,0,61680,0,0,0,0,0,0,4440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIVL,21960,0,0,0,0,0,0,0,0,16320,0,0,0,0,0,969720,0,5640,0,0,0,0,0,558840,0,0,6360,156120,0,49560,395160,0,0,1887360,206520,0,0,713640,328560,0,0,0,26880,357360,315360,0,0,27960,0,360,0,0,0,0,0,514920,0,37920,195480,463560,17280,0,0,0,0,30000,0,0,489960,0,180720,0,0,0,0,0,0,0,0,0,0,0,109440,0,2469360,148080,0,0,1057800,7920,0,0,0,0,2880,0,0,7800,28680,0,198120,0,0,551040,192240,202800,0,25320,590880,29760,0,267480,1777800,242880,913440,3309360,151560,0,100920,731280,28800,0,0,0,0,0,0,0,0,31440,120000,0,0,0,152640,0,0,0,0,66720,31680,0,0,155760,0,0,0,0,0,0,0,523680,0,0,0,0,0,157320,1144560,0,0,0,25800,0,0,7680,0,0,122640,45360,0,0,0,0,0,147240,896160,0,0,0,0,806280,0,0,26760,108360,107880,0,245880,0,780480,148800,0,10320,333480,24480,78480,0,466680,0,0,1047000,2002080,0,0,0,343920,0,0,0,0,0,0,0,0,0
BWM-VR04,0,0,0,67800,0,0,0,0,0,0,0,141120,11280,18480,0,0,81120,0,0,0,3120,0,0,0,0,0,0,0,141480,0,1790160,0,0,0,0,0,0,0,0,0,0,0,0,810120,0,0,108000,2400,0,20400,0,0,0,0,0,548040,0,0,0,6480,0,0,0,0,0,0,0,0,0,28080,0,0,0,0,0,5567160,0,0,0,0,0,0,0,0,0,0,452520,0,58320,0,0,0,413640,758280,3078360,0,0,0,0,0,0,0,0,0,591120,82680,0,0,0,0,0,0,0,0,0,0,95520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162480,0,0,0,0,0,0,0,0,0,439320,0,0,0,0,1089360,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4920,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3240,0,1031520,0,0,0,0,34680,0,0,0,0,0,0,51720,0,659040,0,0,0,0,0,0,0,0,0,0,281760,0,641880,0,0,2696400,0,0,1921680,0,0,0,0,0,13560,0,0,0,960,7920,0,0,0,0,0,0,0,0,389520,0,0,0,0,5567160,0,0,0,0,0,0,0,0,0,0,0,960,0,450960,0,0,1208040,44520,3120,2640,0,0,18000,0,0,0,0,0,0,336000,1680,0,0,0,0,0,0,0,0,0,0,44280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36960,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,147720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLR,0,0,0,0,0,0,0,289920,317400,0,0,119520,128280,0,0,0,0,0,51960,0,130080,0,0,0,0,536040,90240,0,0,0,0,0,106560,0,0,0,0,1248120,0,1008480,0,0,0,0,0,0,0,130320,0,0,0,0,0,0,0,164280,91920,23040,0,0,0,3600,0,158880,86040,0,135600,0,0,34440,0,0,0,0,0,0,0,0,632520,0,0,0,0,0,8760,0,0,0,0,0,0,0,0,0,0,1680,0,0,475800,804960,0,0,34440,96120,0,0,0,535080,0,0,0,268320,0,0,0,0,1692840,0,0,0,0,10920,626640,0,1534320,0,1677360,0,0,0,188040,1807440,0,0,0,0,14160,435000,0,109200,0,128280,0,0,0,0,0,0,0,0,0,127680,0,73320,0,0,0,4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14760,0,0,6600,0,0,0,0,0,0,0,60000,0,0,0,0,447840,0,0,1560480,0,0,0,0,22200,0,0,0,0,0,0,360,0,0,8280
