,RMFR,RMFL,BWM-VL02,BWM-DR06,BWM-DL03,BWM-VL01,BWM-VL07,AVFR,ADAR,RMDVR,OLQVL,URBR,URXR,CEPDR,RMEV,RICR,RMEL,OLLL,IL1DR,URXL,OLLR,RMER,RIGL,ADEL,AUAR,PVPR,DVA,AVAR,RMDR,FLPR,RMDVL,BAGR,AIYR,SAADR,BAGL,RIPL,RMGL,AIBR,SAAVR,ASHR,BDUR,IL1VR,SIBVL,RMHL,RIMR,RIBR,BWM-DR02,OLQVR,CEPDL,URAVR,BWM-DL07,BWM-DL05,IL2DL,IL1DL,BWM-DL01,RMGR,IL2R,URYDR,ALNL,PVR,URADR,IL2DR,OLQDR,AVDR,URYVR,ALNR,ADER,SDQL,RIAR,IL1R,AVEL,BWM-VL04,BWM-VL08,RIVL,BWM-VR04,BWM-VR02,ADLR,BWM-VL06,ALA,CEPVL,BWM-VL03,IL1VL,AVER,AIZL,RIVR,AVL,CEPVR,BWM-VR05,RMDDR,SAADL,BWM-VR03,BWM-VR01,BWM-VR07,BWM-VR08,BWM-VR06,ALMR,ALML,RMDDL,AVJL,AWBR,ADAL,BWM-VL05,ASIR,SMDDL,RMHR,SIBDR,BDUL,AVDL,SMBDR,AFDL,PVCR,AVHL,SIAVR,SDQR,AIBL,SMDDR,SMBVR,PVT,SIADR,DVC,SIBVR,ASJR,PVQR,ASGR,ASER,RIFR,AWCR,AFDR,FLPL,RIH,AVBR,AWAR,AIMR,AVM,SMBDL,PVCL,AIZR,AIAR,AINL,AINR,AIYL,AVJR,ASHL,AUAL,AWBL,PVPL,PVQL,ASJL,ASGL,ASEL,AWAL,SIBDL,AIML,ASKL,AIAL,SMBVL,SIADL,SMDVR,RIML,ADFL,BWM-DL08,OLQDL,URYDL,BWM-DL06,URYVL,URBL,BWM-DL04,AWCL,RMDL,AQR,URADL,BWM-DL02,RMED,BWM-DR04,BWM-DR08,RICL,RIS,BWM-DR01,BWM-DR07,BWM-DR03,BWM-DR05,RIGR,IL2VL,IL2VR,RIPR,IL2L,IL1L,URAVL,SAAVL,ADFR,AVAL,RID,AVHR,AVKR,AVKL,SIAVL,RIBL,ADLL,RIR,AVBL,ASKR,RIAL,SMDVL,RIFL,ASIL,AVFL,excgl,VB1,SABD,VA3,VA2,DB1,VA1,VB2,CANL,CANR
BWM-VL06,0,0,31800,0,0,0,0,0,0,422520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23160,0,0,0,0,0,0,0,946200,0,0,0,0,0,0,0,92880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25560,0,0,0,0,0,0,0,0,0,0,0,2719440,821880,0,0,0,0,0,0,227880,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALA,0,0,0,0,0,0,0,4800,0,0,0,3120,205320,46320,0,0,0,52200,72240,96840,24360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11640,0,0,0,0,0,0,0,0,0,0,12840,0,0,0,6360,60720,0,1440,65760,50520,3240,0,0,0,4560,46800,0,0,7560,0,0,87240,457440,0,0,0,0,0,632520,0,0,0,0,0,268320,0,0,0,0,0,600,0,0,0,0,0,0,3480,0,17400,40200,0,0,0,0,43200,0,50640,0,20400,0,0,0,99120,0,0,480,46080,304440,0,44040,0,0,441840,296040,0,50040,0,0,0,0,0,0,0,61440,0,0,0,0,0,0,0,0,81960,0,0,0,0,221400,748200,0,32520,0,62760,0,444000,0,39840,0,0,0,0,0,73440,46680,0,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53880,19560,0,0,0,0,0,90960,0,0,0,0,916560,0,0,407640,0,0,0,0,0,0,0,0,0,0,0,0,0,272640,217320
CEPVL,0,0,0,0,0,414480,375960,63960,0,182880,984840,0,0,0,106200,853200,34920,1025040,0,235320,0,0,0,12000,0,0,0,0,189480,0,0,567600,0,0,0,43800,402480,0,0,0,0,0,90480,277440,11760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204560,0,0,0,79200,0,0,0,0,198840,0,0,891240,991440,0,0,0,0,227880,0,0,198240,1255320,796920,0,21600,0,53160,0,0,0,0,0,0,0,0,0,684120,1598760,0,0,0,532080,0,0,327000,0,30600,0,0,0,0,0,0,0,0,0,0,1320,0,11400,340680,0,0,0,78960,0,57120,0,0,1347720,0,0,0,0,0,0,0,0,0,117600,0,0,0,266040,0,0,172320,111960,104280,0,0,209880,136200,0,0,599880,0,665520,0,0,0,0,0,0,1568040,1386120,0,81960,1240440,0,0,0,0,0,0,1185720,1122720,0,0,0,0,0,914400,0,0,0,0,268320,0,0,0,120360,0,0,0,11040,379800,0,0,111000,0,1289280,0,0,170880,14880,0,0,0,0,0,0,0,0,0,0
BWM-VL03,0,0,177840,0,0,4636080,0,0,0,1198560,0,0,0,0,2640,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,408600,0,0,0,0,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198240,0,0,0,0,0,0,0,20280,0,0,737160,360840,0,0,0,0,0,44880,0,0,0,3903480,0,43920,0,0,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000,0,0,0,84000,0,211440,0,0,0,0,0,0,25560,0,0,0,0,0,0,0,173400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13080,0,0,0,0,0,0,0,0,0,0,0,0,0
IL1VL,0,0,395400,0,0,313800,0,0,0,128280,1529280,0,0,0,407400,18480,724800,824400,0,146160,0,26280,26880,0,0,0,60720,0,0,0,0,0,0,0,0,2005920,0,99720,0,0,0,41880,49440,0,0,0,0,0,0,0,0,0,0,75360,0,0,0,0,0,216600,0,0,0,0,0,0,0,0,0,0,0,9720,0,0,0,0,0,0,0,1255320,0,0,0,0,11280,0,0,0,0,0,0,0,0,0,0,0,0,4713000,0,0,28920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118800,0,73800,25320,0,0,0,0,0,0,0,0,146400,0,0,0,0,46440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6360,0,0,0,20520,62760,0,0,0,0,0,0,0,2194680,0,0,0,0,0,0,0,212400,0,0,124560,0,0,0,0,0,0,1399200,0,0,72360,426360,593160,0,0,0,0,0,0,0,34440,0,0,0,0,0,5520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVER,0,0,0,0,0,0,0,0,113520,118800,72720,107400,852840,0,142680,1320,360,2573640,211440,85680,0,0,406680,0,219120,0,1030560,114000,291240,0,508080,59880,0,174600,1471200,0,0,510720,97800,147600,5880,0,6360,0,957120,531960,0,0,477480,0,0,0,0,2520,0,357000,12000,186840,0,0,0,114480,98280,106560,0,0,7200,0,0,384720,132000,0,0,109440,0,0,0,0,268320,796920,0,0,0,1759680,137640,360,0,0,0,314640,0,0,0,0,0,111480,0,419160,89280,0,0,0,0,26640,0,0,0,566160,13080,0,254280,0,41040,9000,481920,444720,73680,0,32040,188160,0,139320,16800,0,0,127080,0,0,0,0,1283520,0,287640,0,130200,258120,1648200,0,0,0,152520,181320,0,0,0,979800,0,0,0,0,0,24120,105600,0,86400,102600,394320,724560,588480,0,0,232920,935760,0,1221840,0,0,0,0,960,0,0,5040,0,0,0,903120,0,0,0,0,497760,0,0,0,0,293400,0,30360,0,0,87600,289680,2569680,1266600,765480,2286240,0,264000,240,0,264240,21000,0,0,0,0,0,0,0,0,0,0,0,0,0
AIZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133680,0,0,1285080,0,49080,179280,1710720,60240,0,0,0,432240,81360,0,0,0,47040,1755240,0,0,0,0,0,0,9480,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377760,0,1573320,0,0,0,0,0,0,0,0,0,0,0,1759680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11160,7320,0,0,0,0,309480,0,0,471240,1479240,0,0,0,0,234480,0,53520,28320,0,151080,172440,0,0,0,1199160,0,612240,0,0,1211160,14760,0,0,0,1628520,50520,1062960,0,0,21600,3423360,0,554880,533640,2124000,333600,0,0,338280,670320,2091600,119640,130680,0,1514880,3151200,590040,0,2815080,3154440,0,3600,720,0,6840,0,0,416040,0,44880,0,0,0,0,0,224520,0,0,0,0,0,18840,0,0,0,0,0,0,0,0,0,65400,504480,1200,130080,0,2276640,5640,1026600,335880,0,3565200,0,13200,8640,0,0,95760,0,0,0,0,0,19080,0,0
RIVR,156240,53760,0,0,0,0,300480,0,0,450720,12480,104280,0,0,204120,372240,0,0,0,0,0,0,577680,0,68880,0,108960,532320,1448400,98640,0,95880,3840,24840,66000,0,839760,893400,282120,0,0,0,0,779400,1052520,43080,0,0,0,0,28680,0,0,0,0,0,69480,52440,0,357360,51120,0,0,46320,0,315000,489720,0,903720,254880,122520,0,65160,2469360,0,0,8760,150000,0,21600,0,11280,137640,0,0,236880,0,0,0,1876560,0,0,0,0,0,0,0,881520,0,0,387120,298920,14280,2753160,1112040,593880,0,0,233520,0,0,0,0,0,110520,0,0,140640,0,642600,323280,0,0,0,0,0,0,25920,112320,598560,0,0,0,0,883800,0,0,0,33960,0,0,0,0,0,0,0,0,0,0,8160,0,175320,0,0,0,3120,89400,1317600,296280,0,0,0,63360,0,0,0,0,28200,29280,57840,0,0,0,0,0,432120,298920,0,0,0,0,0,37920,0,69240,0,0,0,301920,0,71160,0,0,399840,53640,553080,0,0,189240,193320,0,515640,86160,0,0,0,582720,0,0,0,0,0,0,0,0,0
AVL,1086960,0,0,0,0,0,0,0,0,0,150720,18720,5280,0,1614240,0,198480,186840,26040,0,134760,478320,42360,2400,0,0,0,0,100680,2040,0,0,0,0,0,0,21480,871440,0,0,0,134400,0,0,433680,362760,0,176040,0,97200,0,0,0,72000,0,58680,9000,51960,0,0,0,7440,292560,0,433560,0,0,0,0,0,33360,0,0,148080,0,0,0,0,0,0,0,0,360,0,236880,0,0,0,65640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71640,189720,0,0,0,140640,0,0,0,0,0,958440,106320,240,2534640,1082760,237720,41040,0,0,0,0,0,0,0,0,178560,0,0,0,0,0,128160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235680,36240,0,0,221400,96720,0,328080,13200,0,0,93480,108840,0,0,1009200,0,0,0,5267280,0,0,0,0,1403280,0,33720,0,29640,0,0,0,0,2880,0,0,5160120,5209680,0,426120,0,372360,0,0,0,451800,0,0,0,97800,0,0,0,0,0,0,0,0,0
CEPVR,0,0,0,0,0,0,0,132600,92280,0,0,836160,120600,0,44400,1131360,0,0,0,0,909360,0,0,0,174360,0,0,0,1426200,0,124680,0,0,0,459840,0,0,0,0,0,0,1487880,146160,608640,0,218760,0,845160,0,454680,0,0,0,0,0,330240,0,0,0,1239600,0,0,0,0,1279800,0,145320,0,1457520,0,413040,0,0,0,452520,960,0,0,0,53160,0,0,0,0,0,0,0,776400,1563000,0,448320,124680,866760,674760,174480,437760,0,0,62760,0,0,19440,202200,0,0,191880,0,133080,0,0,35040,0,228840,144840,0,0,762720,0,0,0,12360,187320,340320,199200,0,0,0,12480,0,1667760,86520,0,194880,0,0,0,0,600,80760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148200,112080,0,0,0,0,0,0,736080,1123200,0,0,0,0,0,0,2067840,209400,0,0,0,0,0,0,0,0,17160,0,0,0,0,0,104280,37320,242040,1362960,0,0,35160,0,0,0,0,0,0,0,0,0,0
BWM-VR05,0,0,0,0,0,0,0,0,0,712680,0,0,0,0,176520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20280,0,0,0,0,0,776400,0,260400,0,3347160,307920,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,0,0,0,273000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30960,0,0,0,0,0,0,0,0,0,0,0,0,0
RMDDR,0,0,33120,0,1974960,0,0,0,0,325560,0,0,0,350280,943560,62280,0,0,0,10800,3096000,72600,0,36000,0,0,0,408720,553320,0,7581600,0,0,833400,0,0,32280,0,4920,0,0,4841280,113760,40920,0,6000,0,217200,753360,12120,141360,1173840,0,48240,383160,0,9600,52320,375360,0,47040,118320,136560,0,1841040,0,0,2280,4976760,2574600,529440,0,0,1057800,58320,450960,0,0,600,0,0,0,0,0,0,65640,1563000,260400,0,0,54600,209760,18600,0,0,0,202560,1520280,0,0,46440,0,0,81720,101160,97560,0,0,1193280,0,0,0,0,0,0,923160,1680,0,694200,0,454440,0,0,0,0,0,0,0,0,0,0,0,0,0,111480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219240,85920,0,0,43800,1452840,722160,407040,0,482280,1916760,0,1110600,0,272160,731160,5160,0,0,87240,0,140520,0,349080,61560,0,0,56160,5040,0,707760,0,213120,0,0,0,0,0,0,156120,0,0,183480,0,0,2881440,557640,0,0,0,213000,0,0,0,0,0,0,0,0,0
SAADL,0,552360,0,0,0,0,86280,146400,0,473040,0,52680,0,0,144960,480,0,32160,73080,0,964080,0,2118120,67320,0,0,0,761400,0,0,0,0,0,1370040,0,0,329280,408840,716760,0,0,0,255120,855000,3006360,27240,0,0,0,0,0,0,3240,11280,0,720600,135840,33120,0,0,0,9840,3600,960,0,457080,429000,0,0,96960,40800,0,0,7920,0,0,0,0,0,0,0,0,314640,0,1876560,0,0,0,0,10440,0,0,0,0,0,193200,0,652680,0,0,117600,59880,0,1628040,75360,0,0,31920,0,0,0,0,9120,550440,345000,0,194160,5400,62880,579480,42120,0,0,0,0,0,0,0,0,9000,0,0,0,0,899280,0,5640,0,0,0,0,51120,0,0,0,144960,0,0,0,0,0,111720,0,0,0,3869520,623280,2779560,1834200,0,0,0,63120,0,139320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659400,0,0,0,0,0,0,71160,0,597360,0,84480,432120,528360,45120,3360,0,0,0,0,93840,70920,0,0,13680,2096280,102000,0,0,0,0,0,179160,0,0
BWM-VR03,0,0,0,0,0,306840,0,0,0,659280,0,0,0,0,205560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990680,0,0,0,0,0,0,0,0,0,0,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50640,0,0,0,0,202200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737160,0,0,0,0,0,448320,3347160,54600,0,0,5218200,0,0,0,0,0,0,0,0,0,39960,0,12720,0,0,0,0,0,0,0,0,0,0,0,1680,484440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449400,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR01,0,0,0,0,0,1116480,0,0,0,104280,0,0,0,0,2160,0,64080,0,0,0,0,32400,0,0,0,0,0,0,0,0,315960,0,0,0,0,0,0,0,0,0,0,451560,0,0,0,0,0,0,0,1125120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69720,0,0,0,0,0,0,0,0,0,0,1208040,0,0,0,0,360840,0,0,0,0,0,124680,307920,209760,0,5218200,0,0,0,0,0,0,0,0,0,0,70800,0,30960,0,0,0,0,0,0,0,0,0,0,0,191400,65040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521160,0,0,0,0,0,0,0,0,0,0,0,63840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82680,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25800,0,0,0,0,0,0,0,0,0,0,17160,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,17520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413640,44520,0,0,0,0,0,0,0,0,0,0,866760,0,18600,0,0,0,0,79440,298320,0,0,0,0,0,0,0,0,0,0,26640,0,0,0,0,0,0,0,0,0,0,196440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9960,0,0,0,12000,0,0,0,0,0,0,0,953880,0,0,0,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758280,3120,0,0,0,0,0,0,0,0,0,0,674760,0,0,0,0,0,79440,0,1274880,0,0,0,0,0,0,0,0,0,0,26520,0,0,0,0,0,0,0,0,0,0,13080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,30600,0,650040,0,0,79680,0,0,0,0,0,0,0,0,0,46200,0,0,0,11640,0,0,0,0,0,0,0,422760,0,0,0,6840,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,3078360,2640,0,0,0,0,0,0,0,0,0,0,174480,0,0,0,0,0,298320,1274880,0,0,0,0,0,0,0,0,0,0,0,158280,0,0,0,0,0,0,0,0,0,0,150120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499800,0,0,0,0,0,0,0,0,0,156840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23640,0,0,0,0,0,0,0,13800,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMR,0,0,0,0,0,0,0,180480,746040,0,0,193920,412560,184200,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26400,7080,1895520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108240,0,0,0,1910640,0,0,0,292080,0,0,75360,0,0,50640,0,0,0,0,0,0,1680,0,3480,0,0,0,111480,0,0,0,437760,0,0,193200,0,0,0,0,0,0,0,0,593280,0,0,0,0,2880,0,0,0,468960,0,0,375360,0,0,1316760,0,0,0,0,0,0,0,93840,34560,0,0,652560,0,0,0,0,639480,0,413040,1250400,488280,0,0,0,0,115080,0,12840,0,0,0,0,0,0,0,0,0,250320,0,0,0,0,552960,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323520,0,0,0,0,0,0,360,0,0,0,0,0,478080,0,0,0,0,0,0,0,0,0,0
ALML,0,0,0,0,0,0,0,8880,0,0,0,0,0,0,0,19440,0,0,0,208440,0,0,0,161760,0,0,0,0,0,0,0,0,0,275160,0,15000,98160,0,0,0,0,0,0,0,0,0,0,0,599880,0,0,0,0,5640,0,0,0,0,12000,1733880,0,0,0,864480,0,0,0,1490640,0,0,210840,53520,0,0,0,0,0,0,0,684120,0,0,0,0,0,0,0,0,202560,0,0,0,0,0,0,0,0,0,109080,0,1336080,0,0,0,312960,298440,1262880,249120,525120,0,0,305520,0,0,0,25440,0,0,734760,0,194040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184920,0,0,301560,8640,0,0,0,43800,10440,0,0,0,0,369120,0,0,0,0,0,11160,0,0,0,10320,17160,35400,89760,4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,142080,0,11760,0,66960,538080,0,0,0,0,0,7320,0,678000,0,0,0,346800,0,0,0,0,0,0,0,0,0,0,0,0
RMDDL,0,0,255000,244320,67440,308520,69120,2880,0,8260080,360960,378360,33480,530640,1709880,268680,24960,1970040,166680,0,165480,1680,0,0,0,0,0,0,797880,0,225840,0,0,0,0,1080,100920,0,0,0,0,0,652320,41040,0,0,277440,0,95760,0,360,300240,0,0,86040,73800,0,754080,0,0,82560,11400,1298040,0,0,50160,0,0,2915040,505680,0,59640,0,7800,0,18000,0,0,17400,1598760,44880,4713000,419160,0,881520,0,0,0,1520280,652680,0,0,0,0,0,0,0,0,0,0,0,252240,0,836760,671400,0,0,0,431160,0,0,0,158280,33000,0,2520,373680,0,380160,0,155160,0,2160,0,0,0,0,0,0,0,0,0,0,0,1082640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78240,0,0,0,127920,252600,1221000,0,0,0,95520,76560,0,2074680,0,0,0,675840,0,0,5160,121080,1853520,0,1200,0,432360,152040,1255920,1171200,0,109080,0,1320,0,1574400,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,4126440,99120,0,0,0,212640,0,0,0,0,0,0,0,0,0
AVJL,0,0,0,0,0,0,0,0,242400,0,0,0,32040,0,0,283200,0,0,0,147480,0,0,0,306000,0,246240,67680,141720,0,160440,0,0,936120,0,0,0,0,0,0,74160,1080120,0,0,0,246600,0,0,32520,73800,0,0,0,14520,18600,0,151560,0,99600,17880,888360,720,0,0,184440,31680,0,0,0,0,0,0,0,0,28680,0,0,475800,0,40200,0,0,0,89280,0,0,0,62760,0,0,0,0,0,0,0,0,593280,109080,0,0,36000,0,0,0,32400,0,107880,86160,1592160,0,0,1588440,1284960,0,0,0,22680,207120,0,83160,0,0,0,130800,0,0,1677120,0,0,2280,0,1447080,0,7080,1978560,0,360000,3240,0,354240,0,48960,345960,113400,0,0,0,0,18120,0,0,0,42960,0,0,0,0,0,0,0,0,0,48840,66000,0,0,0,0,0,0,683400,141360,0,0,0,0,0,1048320,0,0,0,0,10800,0,0,0,0,0,0,0,0,11040,0,0,0,0,0,0,202920,21000,835440,0,0,188400,97200,0,263880,0,0,0,0,0,0,0,0,0,0
AWBR,0,0,0,0,0,0,0,0,90840,0,0,0,414000,0,0,0,0,0,23280,0,0,0,0,0,33360,53880,9360,0,0,0,0,0,1104840,0,7440,0,0,311160,0,1200840,0,0,0,0,124080,277680,0,8520,0,0,0,0,0,0,0,153600,0,0,0,0,0,0,6120,0,9480,0,0,0,6960,0,0,0,0,0,0,0,804960,0,0,0,0,0,0,11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,594840,0,0,186120,0,0,132840,0,0,1450320,0,0,85080,0,497880,0,0,0,0,106320,0,0,1709160,196560,345480,230760,0,0,0,3495240,33480,0,0,0,1932120,319680,47400,45480,125040,0,0,0,195000,0,0,0,0,87720,43920,0,0,0,0,0,0,0,0,63000,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,188880,0,0,0,0,0,0,0,2283000,0,0,297480,0,0,0,0,0,80640,0,0,0,0,0,0,289800,0,0,0,0,0,0,0,0,0,0
ADAL,0,68760,0,0,0,0,0,484800,0,0,144960,0,0,0,0,688320,0,79320,0,957840,0,0,0,931200,0,0,837840,1069320,0,114840,0,0,0,25800,0,680760,537480,0,234960,0,0,0,611280,248040,7680,0,0,0,122760,0,0,0,90240,0,0,0,0,0,55440,392520,0,0,0,879720,0,0,21720,99360,0,0,272520,4680,0,198120,0,0,0,0,0,0,0,28920,0,7320,387120,0,0,0,46440,117600,0,0,0,0,0,0,1336080,0,0,0,0,0,0,0,139680,18480,352800,156960,277080,0,0,0,0,0,78960,0,0,0,148680,0,30000,0,0,0,0,0,0,0,371160,0,980400,0,0,61560,154680,960,0,0,0,0,0,346320,2016600,0,147000,237960,540240,0,0,13920,4320,770040,49200,147120,82680,294720,0,305760,2330640,250800,0,106320,198600,0,80520,521880,0,0,0,30480,11160,0,0,0,0,678120,0,0,0,0,0,0,71760,0,0,0,0,55920,9360,0,849480,357840,642840,0,0,767040,0,349800,0,1130160,0,6840,0,252480,0,137880,0,0,0,0,0,0,0,0,0,0
BWM-VL05,0,0,360,0,0,71880,1687080,0,0,1608480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55320,0,121320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2760,0,0,0,0,0,0,0,0,0,0,532080,3903480,0,0,0,298920,0,19440,0,0,59880,39960,70800,0,0,0,0,0,252240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19680,0,0,0,264840,0,175920,0,0,0,0,0,0,32640,0,0,0,0,0,0,0,12960,0,0,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35880,0,0,0,0,0,0,48600,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIR,0,0,0,0,0,0,0,0,0,0,0,0,30000,13440,0,0,0,0,6840,0,20760,0,0,0,0,0,0,0,0,0,0,0,505920,0,363000,0,0,489120,0,0,0,0,0,0,5400,0,0,0,0,0,0,0,0,0,0,0,28440,1080,0,0,0,52680,7560,0,0,0,0,0,117840,52680,0,0,0,0,0,0,34440,0,0,0,0,0,0,0,14280,0,202200,0,0,0,0,0,0,0,0,0,0,0,0,594840,0,0,0,0,0,113400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315480,0,561600,1169640,0,5508120,694560,0,0,0,445320,0,0,0,0,4320,1494840,82200,137880,0,0,0,0,0,0,0,0,0,20640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27600,0,0,0,0,0,0,0,0,45360,0,0,505800,0,0,0,140880,0,0,0,0,0,0,0,0,0,0,0
