,URYVR,IL2VL,RIBL,OLQDR,RIR,BWM-VR07,AIAL,RIMR,AIYR,ASJR,ALNL,BAGL,IL1VR,AFDR,OLQDL,RIS,FLPR,BWM-DR07,PVCL,AVKL,IL2DL,AIBR,SIAVL,IL1DR,URXL,ASKL,ALA,BWM-VL07,SMBVR,DB1,AINR,IL1R,IL2DR,RMGL,BWM-DL04,RIVR,SAADR,SIBDR,URYDL,AIML,IL2VR,BWM-VL08,DVC,RMDR,RIBR,ASER,ADLL,BWM-VR06,BWM-VR04,OLLL,URBL,AVBL,AWBR,AVBR,AVDR,BWM-VL04,ASIL,RMER,AVHR,AIZR,DVA,SMBVL,BAGR,AWCR,BWM-VL02,BWM-DL03,RMHR,BWM-VL03,URADR,IL2L,VB2,OLLR,RMHL,IL1L,BWM-VL01,AVFR,URADL,SAAVR,IL2R,URAVR,PVR,BWM-VR05,ASHR,RMEL,URYVL,URXR,SMDDR,AVKR,AVFL,BWM-DR04,RIPL,RIPR,AWBL,AWAL,BWM-DR06,SIADR,AVAL,BWM-DL06,OLQVL,SMDVL,URYDR,BWM-DL07,RMDL,AWCL,AUAL,VA1,RIH,BWM-DL05,RIVL,ASHL,RIAR,RMDDR,SMBDR,RMEV,RIAL,URAVL,BWM-VL06,SIBDL,IL1DL,AVER,SIAVR,AFDL,RIGL,SAAVL,BWM-VL05,ASEL,SMBDL,CEPDR,RMDVR,AIAR,RIFL,AVEL,ASKR,AIMR,RIGR,SMDVR,CEPDL,ASJL,CEPVL,AVDL,RIFR,SABD,OLQVR,BWM-DR02,SIBVR,ADLR,AWAR,ASIR,SABVL,BDUL,VB1,ASGR,RMDDL,BWM-DR03,AIYL,AVJL,FLPL,IL1VL,AIBL,BWM-VR02,excgl,ADFL,ASGL,SIADL,SMDDL,URBR,SIBVL,RICL,SAADL,ADEL,ADAL,AIZL,CEPVR,RIML,AINL,AVHL,RMED,ADFR,PVQL,PVPR,PVT,PVPL,PVCR,PVQR,ALMR,BWM-DL08,BWM-DR08,ALNR,CANL,AVAR,AVJR,AQR,RMDVL,RMGR,AVM,RICR,BDUR,ADER,ADAR,ALML,BWM-VR08,SDQR,RID,BWM-DR05,AUAR,BWM-DR01,BWM-DL02,BWM-DL01,BWM-VR01,BWM-VR03,AVL,CANR
URYVR,0,0,0,0,44400,0,0,0,0,0,0,78000,1129080,0,0,185880,0,0,16560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64680,75840,0,0,184680,0,193680,0,483480,0,0,0,0,0,0,0,26400,37080,0,0,0,193440,0,17760,136680,0,0,0,0,0,0,0,0,0,0,200520,0,0,0,0,0,0,0,198960,30480,1320,9600,0,0,80880,19200,36840,0,0,0,19680,0,0,0,77760,49440,0,0,365640,0,0,0,0,0,0,1809720,0,0,0,2280,777720,43440,39960,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,457080,0,0,218400,0,0,0,0,54840,840,0,545400,0,6720,59400,0,0,0,0,0,0,0,0,0,13920,0,0,46680,0,0,0,0,0,0,0,100200,58680,0,0,0,0,656760,0,14040,50040,24360,5880,0,22920,139440,0,24120,0,7920,0,0,0,0,0,0,10320,424440,0,0,0,0,0,98280,0,0,0,0,0,99360,0,0,0,28680,22320,118320,0
IL2VL,0,0,0,0,16080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63240,12600,0,78120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359280,0,0,69720,0,83880,0,0,0,0,0,0,89880,0,0,0,0,1560,0,0,960,0,0,0,0,0,386520,54600,0,0,0,0,0,1250880,0,0,0,0,0,0,0,318360,0,0,0,0,0,0,0,280200,0,0,0,0,0,0,284400,51600,579000,0,16800,0,0,0,0,61080,0,0,0,6360,0,0,0,0,0,0,0,0,0,0,0,222480,0,0,0,0,0,13920,0,0,0,0,0,0,0,6480,0,0,0,0,567840,0,0,0,0,0,14280,0,0,17160,51600,0,0,7680,0,0,19440,0,0,122640,0,0,0,41280,2280,0,0,0,0,0,0,0,2880,0,0,0,0,0,32160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIBL,0,0,0,0,7560,0,0,515640,0,0,0,246000,0,0,236400,1977720,0,0,0,90600,0,807240,10920,0,137520,0,0,0,0,0,582600,0,0,47640,0,0,21360,0,360000,0,0,0,276120,220560,181080,0,0,0,0,862200,0,0,0,158280,84360,0,41400,0,0,0,9720,0,1784760,0,0,0,0,0,0,28320,0,91320,0,91680,0,0,0,0,0,0,0,0,0,301560,715680,0,371160,0,0,0,0,0,91800,32520,0,20760,226440,0,163440,168120,0,0,0,90360,2195640,0,244440,0,15120,0,0,0,0,1206360,563280,0,0,55920,0,540720,0,73560,142200,0,0,5400,0,0,0,0,0,228480,0,0,0,475680,6000,18960,52680,0,0,0,0,0,13680,0,0,0,0,0,0,0,0,0,1906080,0,0,0,0,0,0,138480,3120,82920,147120,0,89640,0,0,0,0,1397640,0,813600,4080,0,357960,0,0,0,67080,0,0,0,0,0,0,0,0,0,0,0,1680,0,0,0,0,0,0,0,0,0,101160,0,0,0,0,0,0,0,394200,0
OLQDR,0,0,0,6840,0,0,0,0,0,23760,0,0,0,8520,0,26640,0,0,0,0,0,5040,0,897240,0,0,24480,0,0,0,21120,0,307200,0,0,0,0,0,0,0,0,0,16680,0,40800,10320,0,0,0,0,0,0,0,12120,33480,0,0,607920,12120,0,0,0,4920,13920,0,0,68280,0,130680,0,0,162600,0,0,0,0,0,0,480240,0,0,0,0,0,0,0,0,0,0,0,25560,375600,0,0,0,0,0,0,0,0,1391400,0,0,6240,0,0,1828320,0,0,0,0,114840,0,48600,0,0,0,0,0,0,0,0,0,0,0,3840,476280,476640,101520,1560,0,84240,17400,17280,50880,840,0,0,0,23040,720,0,0,0,239520,15240,0,12120,0,0,0,0,454440,0,0,0,0,0,0,0,0,0,0,1080,2040,123120,0,199440,0,0,0,0,0,0,14400,0,105840,0,0,0,17400,0,0,0,0,0,0,0,0,0,15960,0,0,2760,0,79440,8160,0,53280,0,0,0,0,0,11640,0,0,0,0,0,17040,0
RIR,44400,16080,7560,0,0,0,0,0,87000,0,0,381600,0,57240,0,3840,0,0,0,0,0,148800,0,0,1022760,0,0,0,0,0,0,0,0,0,0,681000,8640,0,0,0,5880,0,255120,0,1200,120,0,0,0,0,0,0,201600,30600,0,0,0,0,626640,603480,1363200,241560,327960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102720,0,149400,1084800,0,2640,0,0,0,0,213960,2160,0,0,0,0,35640,0,0,0,0,0,156480,0,515400,0,965520,46320,390240,0,0,14160,398760,0,0,0,0,63000,0,0,1059120,0,0,97560,3120,0,0,0,7440,32280,0,0,369600,0,0,0,0,35280,2040,0,1680,0,360,0,0,0,0,0,0,0,19800,0,45120,0,0,82560,17760,0,220680,1168800,0,600,32400,0,720,0,0,23400,0,885720,48240,0,0,774000,0,1028760,0,955920,440640,1631880,600,0,0,0,0,0,0,5280,0,1272240,0,0,0,0,0,0,600,0,0,0,69960,0,160320,0,0,0,0,0,464160,0
BWM-VR07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88800,0,0,0,0,0,0,0,45240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89520,0,0,30840,0,45600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9240,0,0
AIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7920,0,0,0,0,0,0,9840,0,0,96720,2604960,0,0,0,0,39120,0,0,121080,0,0,0,0,0,901560,0,0,0,0,0,130920,630840,0,0,0,0,0,5400,0,840,0,412320,0,0,0,0,25320,34920,290040,0,0,0,0,0,0,2160,0,4320,0,0,111840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323880,1318320,0,0,0,0,0,0,0,0,0,1270680,0,0,0,0,0,567600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483600,0,0,0,64560,250800,0,12000,16080,0,0,0,585600,25920,0,0,0,0,0,0,0,5880,0,0,0,0,0,0,0,45120,0,0,0,2328960,0,0,135240,1149720,0,0,0,0,14040,0,0,31440,222240,0,0,87600,0,0,0,560160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMR,0,0,515640,0,0,0,0,0,37920,0,0,13440,0,49440,0,781920,31080,0,26160,419400,0,457800,0,0,0,0,0,0,2760,77160,39360,0,0,37920,125760,238680,1537560,519480,0,0,0,0,0,0,827040,0,0,0,0,0,0,466920,0,503760,127320,100080,0,0,0,1084440,365640,0,0,22800,0,0,35280,0,0,0,0,68400,18360,0,0,0,0,906600,0,0,0,0,927000,0,0,2280,350880,930720,0,0,0,0,0,0,0,212520,732720,1080,0,1177200,27840,0,1654920,0,23280,0,0,0,266400,0,94560,0,69600,11760,0,0,328920,217200,0,606120,162960,0,132000,1814520,0,0,0,0,0,0,0,233640,0,0,540960,1105800,176640,0,37680,205440,381600,0,0,0,120840,0,1320,3840,0,0,0,0,0,0,0,111120,151080,0,1484040,0,0,24840,0,150000,1940880,0,0,137640,1722840,588600,65880,0,0,328920,0,6960,1920,26280,0,8520,0,0,330600,0,0,0,0,0,0,673800,0,8520,5040,0,123840,109080,0,3000,908040,0,0,80400,0,0,475560,0,0,0,0,0,30840,0
AIYR,0,0,0,0,87000,0,0,37920,0,0,0,708720,0,2873160,0,475440,86640,0,0,0,0,566040,0,0,0,0,0,0,43920,428040,87960,0,0,0,0,6120,0,20520,0,0,0,0,0,0,1265400,2189880,0,0,0,0,0,0,507240,0,0,0,0,0,0,1026960,600,0,142800,163680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8640,0,0,198720,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491160,0,0,372840,0,0,0,657840,0,0,0,0,0,0,0,0,0,37080,14280,0,0,0,390360,0,0,0,207600,0,0,39240,148080,0,0,0,0,0,0,55320,0,0,0,0,5400,430560,67440,0,0,0,9000,0,0,0,153360,41400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163440,0,0,236280,0,0,0,0,0,50040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854840,0,0,0,0,0,0,0
ASJR,0,0,0,23760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33960,0,97680,524520,0,121320,0,0,4440,3720,0,0,0,0,0,0,50400,0,0,0,0,0,44760,23040,0,0,0,0,0,0,0,360,0,0,0,22320,0,0,0,0,0,0,0,0,0,120,0,0,10080,0,0,0,0,0,0,18360,0,0,0,5520,0,0,51360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17280,0,0,0,0,3720,0,0,0,0,0,0,0,0,0,0,0,13680,0,45600,0,0,0,0,0,0,0,19320,0,354840,0,0,666120,1497120,0,0,0,57840,0,0,8400,0,0,0,0,69720,11640,0,0,0,0,150480,0,0,0,0,0,0,0,0,1920,0,0,14640,15840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845720,0,0,0,0,0,0,14160,0,0,390600,0,0,0,0,17400,0,0,0,0,0,0,0,0,0,0,0,0,30480
ALNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51120,0,0,0,0,0,0,0,0,38160,0,0,0,187320,0,0,0,0,0,0,0,0,0,0,0,0,417240,0,0,0,0,0,0,0,0,0,0,89040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65760,0,0,0,0,0,0,0,0,0,0,0,0,0,158760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78360,0,0,0,0,0,0,0,0,0,0,0,0
BAGL,78000,0,246000,0,381600,0,0,13440,708720,0,0,0,0,477120,85920,0,0,0,0,0,13560,7080,0,0,0,0,0,0,0,0,132120,0,0,0,0,49080,0,55800,45840,0,35880,0,18360,0,1791240,156120,0,0,0,0,0,252120,0,0,364560,0,0,0,0,177840,132480,0,1221360,263760,0,0,0,0,0,0,0,0,0,6000,0,0,8400,59040,0,0,0,0,0,7680,0,102240,0,0,0,0,14400,0,0,0,0,0,104880,0,0,95160,0,0,0,565800,98280,0,6240,0,70560,0,1087680,0,0,0,0,0,0,36240,45480,858360,0,0,0,108840,0,397320,0,0,0,0,0,0,0,0,898920,20640,960,0,0,595320,0,0,24000,0,158280,0,0,153840,0,0,0,3240,0,0,136200,0,0,0,304920,0,0,0,0,0,0,0,92880,0,0,0,0,35280,15480,0,918120,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,377640,0,294240,2160,0,0,0,0,0,0,0,0,0,578280,0,61200,0,0,0,0,0,0,0
IL1VR,1129080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160,0,0,298560,0,0,0,0,0,5280,0,0,414000,0,48840,0,0,0,0,0,360,0,0,0,0,0,0,0,0,627600,0,0,33000,0,0,0,0,0,0,0,0,0,0,397080,0,0,0,0,0,0,83280,180960,111240,0,0,0,0,0,16920,0,0,0,0,601320,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,1777560,1560,86280,0,0,0,0,0,0,31320,0,0,0,0,0,0,0,0,0,0,0,0,0,9480,0,0,0,0,6600,0,0,576120,0,15840,0,0,0,0,0,0,0,0,0,0,0,0,0,51240,19800,0,0,0,0,0,0,14280,46440,0,0,0,0,672360,0,0,0,0,0,0,0,63960,0,0,0,0,0,0,0,0,0,0,0,27360,0,0,67080,0,0,5160,0,0,0,0,0,0,0,0,0,47640,0,0,0
AFDR,0,0,0,8520,57240,0,0,49440,2873160,0,0,477120,0,0,0,0,0,0,0,0,0,489480,0,6480,0,0,0,0,0,2280,66000,600,0,0,0,0,0,160200,0,0,0,0,0,0,27240,925200,0,0,0,0,0,0,48960,0,0,0,0,0,0,400080,0,0,0,186600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45600,0,0,0,0,0,0,2280,0,0,0,0,0,0,0,0,0,0,31800,0,0,0,541320,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105360,229560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949880,0,156720,230280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236400,0,0,0,0,0,0,0,8160,0,2025600,0,0,0,0,0,0,0
OLQDL,0,0,236400,0,0,0,7920,0,0,0,0,85920,0,0,3360,217200,0,0,7200,480,457560,0,0,0,10680,0,30240,0,0,0,19320,0,0,0,0,17400,0,0,512040,42240,0,0,30480,0,0,4200,32040,0,0,174840,102360,20160,0,0,67200,0,35160,0,0,0,0,0,600,33000,0,0,0,0,0,303960,0,0,58320,0,0,0,336000,0,0,0,0,0,0,875520,0,0,0,0,0,0,166800,43920,0,0,0,0,0,0,0,9120,0,0,0,24360,54720,0,3368280,0,23520,360,0,400080,452760,65520,0,0,0,0,1014960,18000,0,0,63600,0,0,0,0,0,48600,0,22320,0,0,0,0,0,284520,41400,0,57120,0,0,0,0,0,0,0,0,0,0,0,0,22320,0,0,25680,0,0,0,0,0,0,0,0,0,0,413280,208680,0,0,9960,0,0,0,39360,22080,197280,0,0,0,48120,0,1800,0,0,5040,0,0,0,0,18360,0,138600,0,0,254280,0,0,0,0,0,0,37680,0,0,0,0,11280,0,0,92880,0
RIS,185880,0,1977720,26640,3840,0,0,781920,475440,0,0,0,0,0,217200,0,11880,0,78240,1978560,0,72000,0,360,0,0,0,0,446880,189360,169320,0,0,374880,0,202680,437040,0,44760,0,0,0,72720,739560,1437000,0,0,0,0,0,0,133560,0,308040,0,0,0,717000,0,0,0,8280,0,0,0,0,18840,0,0,0,0,0,296280,0,0,0,0,0,0,3840,0,0,114840,417840,98520,0,2285400,2076120,0,0,0,0,0,0,0,130920,0,0,92280,1189200,22680,0,510120,0,35880,0,158760,0,393600,15960,6480,342480,288840,1754640,36720,0,0,0,0,424200,130320,0,7440,11520,0,0,34440,355080,0,64920,0,279120,0,56760,119040,1322640,297240,0,187800,0,0,0,147360,0,0,0,0,0,0,0,0,0,12120,0,62760,347040,56280,0,81960,0,532560,0,0,0,769080,0,0,106080,0,204960,0,0,254280,1074120,128040,0,1379400,0,0,0,77400,0,960,54360,0,0,0,0,0,0,85920,0,9000,367080,32520,155640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751160,0
FLPR,0,0,0,0,0,0,0,31080,86640,0,0,0,0,0,0,11880,0,0,323160,0,0,0,0,0,0,0,0,0,158160,0,52320,0,0,0,0,0,0,39600,0,0,0,0,20400,0,0,0,0,0,0,0,0,267960,0,0,12720,0,0,0,0,20640,26640,0,0,0,0,0,315600,0,0,0,0,0,0,0,0,0,0,0,0,0,220920,0,0,0,0,0,15600,0,0,0,0,0,0,0,0,0,342840,0,0,10800,0,0,0,0,0,6000,210240,0,43080,0,104040,0,92880,0,0,0,0,31920,0,0,144240,0,0,3840,0,0,0,0,0,0,0,128760,0,0,131280,0,0,0,0,477840,0,0,0,0,8160,0,0,0,0,0,0,0,0,0,0,81240,833640,0,125280,0,0,0,0,0,16560,0,0,4080,0,0,0,0,0,0,0,0,0,0,0,0,17520,0,28680,0,24120,0,0,0,0,0,21120,82440,0,0,0,0,0,495000,178440,0,0,104160,0,0,0,0,0,0,0,0,0,0
BWM-DR07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,12600,0,0,0,0,0,0,0,0,0,0,0,0,48600,146040,123360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59520,0,0,0,0,0,0,0,15480,220920,0,0,0,0,0,0,0,0,0,0,111360,0,0,6120,0,0,0,0,0,0,0,0,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,445560,0,0,0,0,0,0,0,0
PVCL,16560,0,0,0,0,0,0,26160,0,0,0,0,0,0,7200,78240,323160,0,0,0,0,0,0,0,0,0,0,0,0,30360,0,0,0,0,0,0,0,152640,240,0,0,0,0,0,0,0,0,0,0,0,0,1098240,0,992400,47160,0,0,0,144960,0,263640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,7680,0,63960,0,0,720,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,9960,0,0,0,0,0,0,0,0,107640,0,0,1200,0,0,0,0,9360,0,6600,24960,0,0,0,0,0,0,0,0,0,0,11760,0,0,0,0,0,0,0,281040,16200,0,40320,0,66480,17280,0,0,0,12480,0,0,0,0,0,1405080,640680,0,0,0,0,0,0,0,0,12360,289560,0,0,0,0,0,6120,0,0,86160,0,0,0,136680,0,181680,1345560,0,624720,0,0,0,0,217920,311760,1093320,0,0,0,14400,138240,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0
AVKL,0,0,90600,0,0,0,0,419400,0,0,0,0,0,0,480,1978560,0,0,0,0,0,318000,173280,0,0,0,0,0,46200,0,0,0,0,64680,0,38400,354720,17520,0,0,0,0,1428360,22440,0,0,0,0,0,17040,0,299160,0,20520,0,0,0,2400,12720,0,0,27600,0,0,0,0,0,0,0,0,0,0,188280,0,0,0,0,32640,0,0,0,0,0,0,114600,0,5520,3746760,0,0,0,0,0,0,0,146280,223440,0,0,259200,0,0,233160,0,0,0,0,0,292560,0,0,0,141120,0,0,0,0,1440,0,397800,41400,0,872760,16320,0,0,145200,0,0,0,0,312000,0,0,364920,150120,6120,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467040,0,2160,0,0,388200,0,0,0,31560,2160,409440,0,0,0,1047480,0,165240,30120,0,0,86760,2482440,222000,18000,0,0,0,0,0,0,185040,0,113160,0,261120,0,27000,0,0,5160,0,0,0,0,0,0,0,0,0,0,0,1595400,0
IL2DL,0,0,0,0,0,0,0,0,0,0,0,13560,0,0,457560,0,0,0,0,0,0,0,0,0,236280,0,45840,0,0,0,23760,0,0,0,0,21840,0,0,408840,9480,0,0,0,0,0,10080,21840,0,0,0,0,0,0,0,30360,0,24480,275160,0,0,0,0,0,10560,0,0,0,0,0,10440,0,0,0,0,0,0,947040,0,0,0,60240,0,0,461280,0,0,0,0,0,0,1507680,0,0,0,0,0,0,0,0,0,0,0,0,30600,128880,0,1049640,0,17640,1440,0,6360,0,200400,0,0,0,0,842520,0,0,0,0,0,0,0,0,0,0,0,9360,0,0,0,0,0,344880,25680,0,6360,0,0,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48600,0,0,0,0,0,0,10560,3600,369600,0,13680,0,0,0,2400,0,0,0,0,0,0,0,0,0,33720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91320,0,0,0,0
AIBR,0,63240,807240,5040,148800,0,9840,457800,566040,0,0,7080,0,489480,0,72000,0,0,0,318000,0,0,17040,600,21000,0,0,0,0,7920,317760,0,0,169560,0,502320,621600,0,108120,0,0,0,514560,0,36600,2212080,0,0,0,48480,0,0,148320,976440,226800,0,0,0,0,238320,321840,0,74160,581520,0,0,67440,0,0,24480,0,0,389160,0,0,0,0,146400,0,0,0,0,286440,0,172440,0,0,330840,0,0,0,0,0,0,0,0,48240,0,0,304560,4560,0,0,270720,49560,37800,0,0,18720,0,360,0,0,333360,80160,48840,0,25440,0,387240,0,0,912720,0,0,246000,136440,0,0,2563920,0,311400,489600,4320,0,20040,0,0,0,11400,343440,0,0,0,143040,286680,86520,161280,0,0,0,375720,13440,0,46440,0,0,33480,33480,0,0,15240,0,501480,1157160,0,195960,42120,524520,144960,109200,1206240,0,1561560,312120,1200,0,255120,0,0,190800,389400,0,8880,0,0,0,0,0,922800,0,0,6240,0,29040,0,0,0,1320,0,0,0,101640,0,3480,0,0,0,0,0,244080,0
SIAVL,0,12600,10920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173280,0,17040,0,0,0,0,0,0,0,0,0,0,0,9960,0,511200,0,15240,0,0,0,0,16560,347040,0,0,0,0,0,6360,63480,0,0,13440,11280,0,0,0,0,0,1902600,2087640,600,0,0,0,28200,0,0,18000,0,0,189480,0,0,0,0,38640,0,0,0,0,0,0,0,0,3840,461280,109800,0,0,0,0,0,0,48480,321720,0,840,0,0,0,0,0,0,0,0,0,0,0,529680,102000,33480,0,32280,18000,0,1421880,0,641760,0,0,0,61080,5400,0,1104600,0,628920,0,0,36720,0,0,0,130080,0,0,74760,0,0,0,0,0,325920,0,0,0,33720,37560,140160,0,0,0,0,0,0,20760,0,0,181920,1560,0,498480,18360,0,417960,658560,9840,0,149160,0,0,209760,0,0,0,0,0,0,0,120360,28800,0,0,0,0,0,0,14880,0,0,76560,0,0,38520,0,0,0,0,0,0,192600,0,0,0,0,0,0,0,0,0
IL1DR,0,0,0,897240,0,0,0,0,0,33960,0,0,0,6480,0,360,0,0,0,0,0,600,0,0,0,0,39840,0,0,0,12120,235560,568200,0,0,0,0,0,0,0,0,0,21360,0,3240,47040,0,0,0,65400,0,0,0,0,0,0,0,964320,21840,4200,0,0,12720,13800,0,0,0,0,231240,0,0,368640,0,0,0,0,0,0,11880,0,119880,0,0,0,0,6960,0,0,0,0,0,605640,0,0,0,0,0,0,0,0,1058280,0,0,25080,0,0,0,0,0,0,12240,0,0,55320,0,0,0,0,0,0,0,0,0,0,0,16560,18600,513840,2290200,5160,0,0,15000,8640,30360,107760,0,0,0,24360,18000,0,0,34320,0,36360,0,16800,0,0,0,0,15120,0,0,0,0,0,0,0,0,0,0,0,8280,0,0,0,0,0,0,0,0,0,30480,0,258120,0,0,0,24960,0,0,960,3240,0,0,0,0,0,5160,0,0,0,0,1680,25080,0,960,0,0,0,0,0,92520,70440,0,0,0,0,17160,0
URXL,0,78120,137520,0,1022760,0,96720,0,0,0,0,0,0,0,10680,0,0,0,0,0,236280,21000,0,0,0,36120,25680,0,0,0,28920,0,0,444480,0,0,0,95040,277800,489360,0,0,95520,0,0,0,6840,0,0,63240,486600,51480,0,24600,1080,0,0,0,157680,0,960,176880,71400,0,0,0,0,0,0,269760,0,0,0,184200,0,0,40440,0,0,0,0,0,0,0,76080,0,63840,0,0,0,119760,0,244680,9600,0,54600,2040,0,57720,0,0,0,0,0,1260240,0,0,0,0,382800,0,0,8640,0,1231800,30000,0,0,16440,0,0,158160,842760,0,0,0,0,0,0,0,0,91440,0,0,0,0,348120,71760,74160,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119040,13920,0,13080,0,0,0,923160,0,0,0,0,0,40080,0,0,436320,265560,0,0,0,41280,0,0,0,0,2040,176520,0,0,0,0,0,0,0,0,0,0,0,0,0,33600,0,0,0,232440,0,0,0,0,0,0,0,0,0,0,0,0
ASKL,0,0,0,0,0,0,2604960,0,0,97680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36120,0,146640,0,0,0,0,0,0,1320,0,0,0,0,0,252480,0,0,0,0,0,0,1536600,0,0,2040,0,0,0,0,0,0,118920,0,0,0,0,111720,0,0,0,0,0,0,0,5280,377880,0,0,0,0,0,0,25800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47160,268320,0,0,0,0,0,0,0,0,0,23520,0,0,0,0,0,336480,0,0,0,6000,0,0,0,0,16920,0,0,16440,0,0,0,225960,0,0,0,0,143280,0,106080,1440,0,0,0,1159920,0,0,0,0,0,0,0,0,0,0,0,0,31080,0,0,0,0,0,0,0,209040,0,0,0,25440,0,0,0,0,0,0,0,118800,0,0,0,84120,0,0,0,1707360,0,0,0,0,110280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
