,URYVR,IL2VL,RIBL,OLQDR,RIR,BWM-VR07,AIAL,RIMR,AIYR,ASJR,ALNL,BAGL,IL1VR,AFDR,OLQDL,RIS,FLPR,BWM-DR07,PVCL,AVKL,IL2DL,AIBR,SIAVL,IL1DR,URXL,ASKL,ALA,BWM-VL07,SMBVR,DB1,AINR,IL1R,IL2DR,RMGL,BWM-DL04,RIVR,SAADR,SIBDR,URYDL,AIML,IL2VR,BWM-VL08,DVC,RMDR,RIBR,ASER,ADLL,BWM-VR06,BWM-VR04,OLLL,URBL,AVBL,AWBR,AVBR,AVDR,BWM-VL04,ASIL,RMER,AVHR,AIZR,DVA,SMBVL,BAGR,AWCR,BWM-VL02,BWM-DL03,RMHR,BWM-VL03,URADR,IL2L,VB2,OLLR,RMHL,IL1L,BWM-VL01,AVFR,URADL,SAAVR,IL2R,URAVR,PVR,BWM-VR05,ASHR,RMEL,URYVL,URXR,SMDDR,AVKR,AVFL,BWM-DR04,RIPL,RIPR,AWBL,AWAL,BWM-DR06,SIADR,AVAL,BWM-DL06,OLQVL,SMDVL,URYDR,BWM-DL07,RMDL,AWCL,AUAL,VA1,RIH,BWM-DL05,RIVL,ASHL,RIAR,RMDDR,SMBDR,RMEV,RIAL,URAVL,BWM-VL06,SIBDL,IL1DL,AVER,SIAVR,AFDL,RIGL,SAAVL,BWM-VL05,ASEL,SMBDL,CEPDR,RMDVR,AIAR,RIFL,AVEL,ASKR,AIMR,RIGR,SMDVR,CEPDL,ASJL,CEPVL,AVDL,RIFR,SABD,OLQVR,BWM-DR02,SIBVR,ADLR,AWAR,ASIR,SABVL,BDUL,VB1,ASGR,RMDDL,BWM-DR03,AIYL,AVJL,FLPL,IL1VL,AIBL,BWM-VR02,excgl,ADFL,ASGL,SIADL,SMDDL,URBR,SIBVL,RICL,SAADL,ADEL,ADAL,AIZL,CEPVR,RIML,AINL,AVHL,RMED,ADFR,PVQL,PVPR,PVT,PVPL,PVCR,PVQR,ALMR,BWM-DL08,BWM-DR08,ALNR,CANL,AVAR,AVJR,AQR,RMDVL,RMGR,AVM,RICR,BDUR,ADER,ADAR,ALML,BWM-VR08,SDQR,RID,BWM-DR05,AUAR,BWM-DR01,BWM-DL02,BWM-DL01,BWM-VR01,BWM-VR03,AVL,CANR
ADAR,98280,0,0,53280,600,0,0,908040,0,17400,0,0,5160,0,0,0,178440,0,0,5160,0,1320,0,960,0,0,0,0,159240,0,0,0,0,0,0,99600,123000,121080,0,0,24120,0,2760,0,0,0,0,0,0,0,0,453120,82080,301560,94800,0,0,0,0,0,721200,0,0,0,0,0,3960,0,75000,0,0,0,0,0,0,0,0,34440,0,24840,189240,0,982080,0,0,310320,26640,0,0,0,0,164760,0,0,0,0,620880,0,0,205200,50880,0,0,0,0,74160,0,0,142800,0,124080,0,77400,0,0,0,0,38160,0,11040,170640,0,0,197880,0,0,38640,28200,0,14520,0,35040,161760,17280,0,0,0,0,0,125280,155400,0,101280,0,176040,309120,0,0,0,0,0,0,0,0,0,258120,38280,0,120480,0,0,0,0,27600,26640,404880,63960,775560,12000,0,50280,0,3120,0,0,312120,0,110640,0,111480,0,0,41280,95880,592440,0,0,0,0,552360,0,205080,0,272760,0,670920,0,495600,0,0,0,150720,0,0,0,0,0,0,0,0,0,0
ALML,0,0,0,0,0,0,0,0,0,0,78360,0,0,0,0,0,0,0,0,0,0,0,0,0,232440,0,0,0,0,0,0,0,0,85920,0,0,301800,167520,0,295440,0,0,0,0,0,0,0,0,0,0,152040,33120,0,0,202800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120,0,1800,139080,0,0,0,0,0,0,450120,0,0,0,14760,0,6120,0,0,0,33600,0,0,0,0,239160,0,0,0,8640,0,0,0,0,0,0,0,0,61800,21120,0,0,196440,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,532320,96960,0,0,0,0,166920,0,357840,187200,0,0,0,0,40920,0,0,0,0,686400,0,0,0,0,0,148920,0,0,0,0,0,0,0,0,0,0,0,0,0,86400,433800,0,0,0,4440,186000,0,0,0,0,0,0,429600,0,0,0,0,0,0,0,99720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-VR08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30960,0,0,0,0,0,0,0,0,15600,0,0,0,0,0,51240,0,0,0,453720,289320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10680,0,0,0,0,0,0,0,0,0,0,0,0,15840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17880,231240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDQR,0,0,0,0,0,0,0,80400,0,0,0,0,0,0,0,0,104160,0,0,0,0,0,0,0,0,0,0,0,21840,0,35040,12840,0,0,0,0,154920,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,110280,0,0,0,0,0,0,182640,0,639000,0,0,0,0,0,603240,0,0,0,0,0,25920,0,0,0,0,15840,0,0,493800,0,0,0,0,0,80040,0,0,0,0,0,0,0,9720,0,32280,0,0,264720,0,0,31920,0,0,0,0,0,461640,0,69240,0,0,0,0,0,0,0,0,0,393480,0,0,275520,0,0,58680,0,0,0,0,0,0,3960,2880,0,0,0,0,52320,89280,0,0,0,7320,0,0,0,0,0,0,0,10800,0,0,0,13440,0,2280,0,39840,0,0,134160,0,21840,490920,817680,398160,0,0,0,130200,0,0,0,0,0,0,0,0,0,0,0,634560,0,0,0,0,0,0,85680,12960,0,0,873960,134880,179520,150720,0,0,0,0,0,0,0,0,0,0,0,0,0
RID,0,0,101160,0,69960,0,0,0,0,0,0,578280,0,8160,37680,0,0,0,1320,0,0,101640,192600,0,0,0,0,0,0,0,870240,0,0,150120,0,79200,8400,8040,68520,0,0,0,166440,0,78360,0,0,0,0,0,51000,320760,0,371160,878640,0,0,0,54600,480,1066800,125880,272520,0,0,0,16200,0,0,0,4560,0,0,0,0,265440,0,1800,0,0,0,0,0,0,6720,0,0,0,0,0,0,0,0,0,0,3720,70800,0,1680,0,0,0,0,0,9720,0,0,0,42720,26760,0,0,2640,0,0,0,0,86520,0,0,0,20520,392640,0,0,0,0,0,0,0,7800,57960,0,0,212160,11040,0,0,0,147240,0,0,0,0,663720,0,0,0,0,190200,6000,0,0,0,0,0,0,0,0,0,41040,0,0,0,0,0,105840,369960,0,10080,352440,49080,0,39360,625920,0,133680,0,0,0,0,18480,1127400,0,0,0,0,0,0,208560,420840,192120,17640,0,0,120720,0,0,0,0,0,0,6480,0,0,0,0,0,0,0,0,0
BWM-DR05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41040,0,5760,0,0,0,0,0,0,0,0,0,0,0,0,94440,133800,38160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21720,0,0,0,0,0,0,0,507720,1327920,0,0,0,0,0,0,0,0,0,0,35040,0,0,5760,0,0,0,0,0,0,0,0,38160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14520,0,0,0,0,0,0
AUAR,99360,0,0,11640,160320,0,0,475560,1854840,0,0,61200,0,2025600,0,0,0,0,0,0,0,3480,0,92520,0,0,0,0,0,215160,427320,240,92040,0,0,96360,0,55680,0,0,0,0,0,0,2361960,50760,0,0,0,0,0,0,78360,114600,0,0,0,0,0,216960,117480,0,165360,0,0,0,0,0,5040,0,0,0,0,0,0,0,0,6840,0,0,0,0,0,0,0,848520,0,0,0,0,0,0,17280,0,0,0,0,0,0,0,6480,0,0,0,100560,0,0,0,0,0,492720,0,0,0,0,0,0,0,0,388560,0,140280,0,0,0,15360,0,28680,0,2520,0,0,0,0,12360,23520,0,0,0,75600,0,0,5520,0,0,0,1920,0,0,0,0,0,0,0,80040,0,0,0,40800,0,0,49320,0,0,0,0,0,0,0,0,0,0,146040,0,1362360,0,0,1146840,0,0,0,0,0,0,0,0,0,0,0,236520,0,0,0,0,76200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWM-DR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70440,0,0,0,0,0,0,0,0,10680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,171840,0,0,681840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,64920,0,0,0,0,0,0,0,0,20880,0,0,0,0,0,0,0,0,0,0,3480,0,156600,0,0,0,0,0,0,0,0,0,0,0,0,59040,0,88320,0,0,0,0,0,0,81240,0,0,0,0,0,0,0,620880,0,0,0,0,0,0,0,0,239280,2121360,0,0,0,0,0,0,0,0,0,0,39480,0,0,0,0,0,0,0,0,0,0,0,128520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14520,0,0,0,515400,0,0,0,0
BWM-DL02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330200,0,0,0,0,0,0,0,0,26280,0,0,9120,0,0,12240,0,0,0,0,0,101280,0,474240,0,0,0,0,0,0,926880,0,0,0,0,0,0,0,0,69840,6600,0,422880,0,0,0,0,0,0,26040,0,0,0,0,0,0,0,0,0,0,0,0,0,60720,0,0,0,0,24120,0,0,0,0,0,0,0,0,289680,22320,0,0,14520,0,0,185040,0,0,0,0,0,0,0,0,0,9720,0,0,0,0,0,0,0,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5880,0,0,4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17520,0,0,0,0,0,0,106920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564960,0,0,0,0
BWM-DL01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11280,0,0,0,0,0,91320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17520,3960,0,0,0,0,0,8640,1981440,0,0,0,0,0,0,0,0,0,0,729360,0,0,0,55920,0,0,0,0,0,90360,0,0,0,10680,0,0,0,0,0,0,0,0,71520,0,23040,0,0,0,0,13560,121560,7680,0,0,251880,311760,217080,0,0,0,0,79200,0,0,0,0,0,0,0,0,62280,0,0,51720,0,0,0,0,480,30480,0,0,0,0,0,0,0,0,0,0,0,0,69000,0,0,45240,61440,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,120960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113280,0,0,0,22080,0,0,0,0,0,0,0,0,515400,564960,0,0,0,0,0
BWM-VR01,28680,0,0,0,0,0,0,0,0,0,0,0,47640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87120,0,0,0,0,0,0,0,0,0,0,0,154200,0,0,0,0,0,0,3240,0,0,0,0,0,0,0,0,0,9960,0,0,0,0,0,0,0,0,0,63720,0,0,0,0,0,0,574080,0,0,0,0,705240,0,5280,0,115080,0,0,51480,0,0,0,0,56040,0,0,0,0,0,0,0,13080,0,0,0,0,0,0,0,0,0,0,0,86400,0,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89400,0,0,0,0,0,0,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277560,0,0,0,0,19440,0,0,0,0,0,0,0,22560,0,0,0,125160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2559720,0,0
BWM-VR03,22320,0,0,0,0,9240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,72960,0,0,0,0,0,0,0,0,5880,295680,0,0,0,0,0,0,124920,0,0,0,0,0,0,1488600,0,84840,0,0,4920,0,0,0,0,0,0,0,0,0,0,0,0,264240,0,0,0,0,0,0,0,0,8520,0,0,2400,0,79080,1320,0,0,0,0,0,11160,0,0,0,0,0,0,0,227520,0,0,0,0,0,0,45360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40200,0,0,0,0,0,0,0,295560,0,0,0,83640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752400,0,0,11400,0,0,0,0,0,0,0,0,0,0,0,0,2559720,0,0,0
AVL,118320,0,394200,17040,464160,0,0,30840,0,0,0,0,0,0,92880,1751160,0,0,0,1595400,0,244080,0,17160,0,0,0,0,0,0,0,0,0,0,0,313320,0,0,94080,0,0,0,1220640,0,257160,0,0,0,0,55800,0,5880,0,0,0,0,0,363840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191400,263520,0,0,1300080,0,0,0,0,0,0,0,521040,96720,0,38760,249840,17520,0,0,0,0,0,57360,0,0,0,0,0,337920,451440,0,0,0,0,29040,0,85080,0,960,0,0,0,0,0,0,0,0,23160,0,0,492000,290040,0,0,0,0,0,0,43680,0,81960,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,73560,0,0,0,120,0,0,0,0,0,0,0,0,0,0,90600,465480,0,0,335040,2089560,0,0,0,0,0,0,0,0,0,0,7440,0,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANR,0,0,0,0,0,0,0,0,0,30480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134880,0,0,0,0,11160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400,0,0,0,0,0,127320,3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39960,0,0,0,0,0,0,0,0,0,0,0,0,0,9240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,3360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
