Cell,Volume_nm^3
RMFR,12763200
RMFL,253539840
BWM-VL02,926881440
BWM-DR06,385199040
BWM-DL03,797573760
BWM-VL01,769317120
BWM-VL07,201882720
AVFR,1784624640
ADAR,1631907840
RMDVR,5080502400
OLQVL,1541563680
URBR,1642152480
URXR,2785509600
CEPDR,2237713440
RMEV,2904801600
RICR,3367061280
RMEL,1991653440
OLLL,3146626560
IL1DR,2144105760
URXL,3037466880
OLLR,2943322080
RMER,2378697120
RIGL,3847471680
ADEL,1774080000
AUAR,2416790880
PVPR,1532654400
DVA,5044605600
AVAR,3102794400
RMDR,4418951520
FLPR,729783840
RMDVL,4816248480
BAGR,2880143520
AIYR,3157662720
SAADR,2072753760
BAGL,2988942720
RIPL,1285758240
RMGL,3463506240
AIBR,4119601920
SAAVR,1964273760
ASHR,2676847200
BDUR,948636480
IL1VR,2027717280
SIBVL,4985467200
RMHL,2167705920
RIMR,8123814720
RIBR,4050220800
BWM-DR02,843569280
OLQVR,1413525120
CEPDL,2568599040
URAVR,1036600800
BWM-DL07,72691200
BWM-DL05,415271520
IL2DL,1105471680
IL1DL,1972784640
BWM-DL01,809860800
RMGR,3449760480
IL2R,1728684960
URYDR,1749532800
ALNL,433212960
PVR,2301657600
URADR,1198328640
IL2DR,1211543040
OLQDR,1452240960
AVDR,1457101440
URYVR,1861501440
ALNR,460056480
ADER,1705462080
SDQL,589579680
RIAR,6023459520
IL1R,2224631040
AVEL,2261564160
BWM-VL04,1023003840
BWM-VL08,176885280
RIVL,2251229760
BWM-VR04,771061440
BWM-VR02,1041581280
ADLR,2703186720
BWM-VL06,360469440
ALA,798410880
CEPVL,2491551840
BWM-VL03,923346240
IL1VL,2007157920
AVER,2523233280
AIZL,4158391200
RIVR,2343200640
AVL,2624641440
CEPVR,2361129600
BWM-VR05,394780320
RMDDR,5303102880
SAADL,2205448320
BWM-VR03,931180320
BWM-VR01,827382240
BWM-VR07,106036320
BWM-VR08,157136160
BWM-VR06,389002560
ALMR,1363628160
ALML,1449437760
RMDDL,4983650400
AVJL,1313638560
AWBR,1427255040
ADAL,1731021600
BWM-VL05,578515200
ASIR,1788176160
SMDDL,3856107840
RMHR,2083368960
SIBDR,1546087200
BDUL,1014035520
AVDL,1300422720
SMBDR,3554676960
AFDL,2031472800
PVCR,1054445760
AVHL,1725542400
SIAVR,2060113920
SDQR,1641608160
AIBL,4227968160
SMDDR,4222432320
SMBVR,3184227840
PVT,3486796320
SIADR,1983427680
DVC,3453162240
SIBVR,2089387200
ASJR,1840939680
PVQR,2361510720
ASGR,1291044000
ASER,4421805120
RIFR,2145446880
AWCR,3220673760
AFDR,2057036160
FLPL,691760640
RIH,6388555680
AVBR,3074838720
AWAR,1776408000
AIMR,1529319360
AVM,1325729760
SMBDL,3345687840
PVCL,1454409120
AIZR,3936345600
AIAR,2642856000
AINL,2227997280
AINR,2249922240
AIYL,3408204480
AVJR,1447154880
ASHL,2464389600
AUAL,2713541760
AWBL,1259695680
PVPL,1755027840
PVQL,2758481280
ASJL,1929822720
ASGL,1322631360
ASEL,2599780320
AWAL,1863992160
SIBDL,1352307360
AIML,1638450240
ASKL,1797087840
AIAL,2936143200
SMBVL,3256038240
SIADL,1590629280
SMDVR,4117104960
RIML,7758486720
ADFL,1860108480
BWM-DL08,222366240
OLQDL,1465197120
URYDL,1996556640
BWM-DL06,572342400
URYVL,1716099840
URBL,1567075680
BWM-DL04,1124292960
AWCL,3699492960
RMDL,3749797440
AQR,3384065760
URADL,1235712000
BWM-DL02,1096467360
RMED,2692404960
BWM-DR04,846698400
BWM-DR08,178297440
RICL,3203713920
RIS,7040014080
BWM-DR01,666809280
BWM-DR07,177423360
BWM-DR03,792063840
BWM-DR05,439193280
RIGR,3590854080
IL2VL,1172662560
IL2VR,1110164640
RIPR,1293250080
IL2L,1761707040
IL1L,2425664640
URAVL,1068721440
SAAVL,2071483200
ADFR,1902517920
AVAL,3458760000
RID,1239302880
AVHR,1518043680
AVKR,3079008000
AVKL,3461085120
SIAVL,1912533120
RIBL,4165411200
ADLL,2776329600
RIR,3002570400
AVBL,2446361760
ASKR,1999873440
RIAL,6184381920
SMDVL,4086843360
RIFL,2108208480
ASIL,1614489120
AVFL,1374295680
excgl,3078034080
VB1,668484960
SABD,391435200
VA3,63229920
VA2,115424640
DB1,181116480
VA1,115312800
VB2,395965920
CANL,66485760
CANR,36137280
