,AWBL,SABD,AWBR,CANL,PVDL,CANR,RMFR,SMDDR,SMDDL,SAADR,URXR,RIH,RIGL,ADER,ADEL,FLPR,FLPL,ASKL,AIAL,URAVR,URYVR,IL1VR,RMDR,RMHR,URAVL,PVR,AVM,BWM-DL08,BWM-DL04,BWM-DL05,BWM-DL07,BWM-DL03,BWM-DL01,BWM-DL02,BWM-DL06,AVAL,URXL,IL2VL,IL1VL,RIBL,OLQVL,CEPDL,BWM-DR07,BWM-DR05,AIBR,URBL,URYDR,OLQDR,BWM-DR01,BWM-DR03,CEPDR,BWM-DR06,BWM-DR02,BWM-DR04,AVAR,OLQVR,OLLR,IL2R,IL2L,IL1L,SAAVL,AVJL,AVHL,RIVL,ALNL,SDQL,ALMR,RMDDL,ALNR,IL1R,AINR,AVJR,AVHR,SDQR,SMBDL,CEPVL,RIMR,RMFL,ADAR,BAGL,ASER,BWM-VR08,BWM-VL06,BWM-VL02,RMDVL,SIAVR,AVDL,PVCR,RIFR,BDUR,AVBR,AVFR,AVFL,ASHR,AIAR,ASKR,PVQR,RMGR,ASJR,AIMR,ASGR,PVPR,AVBL,BWM-DR08,URBR,RMDL,URYVL,BAGR,AVKR,AVKL,SIADR,SIBDR,ADFR,AWAR,AWCR,ASIR,AINL,AFDR,AUAR,AIYR,SMBDR,SMBVR,PVPL,AQR,PVCL,SAAVR,SAADL,SMDVR,RMDVR,SIAVL,RMHL,RICL,SIBVR,RID,AVDR,ALML,BDUL,ASHL,ADFL,RMGL,PVQL,AIML,ASJL,AIBL,AUAL,AFDL,ASGL,BWM-VL04,BWM-VL01,BWM-VL03,BWM-VL08,BWM-VL07,BWM-VL05,AVEL,ADLL,AVER,ALA,ADLR,BWM-VR06,BWM-VR02,BWM-VR04,BWM-VR07,BWM-VR05,BWM-VR01,BWM-VR03,AWCL,RMEV,CEPVR,AIZR,RICR,ASIL,DVA,RIGR,DVC,PVT,ADAL,RIML,SIBVL,SIBDL,SIADL,RIR,AVL,RIVR,RIS,SMDVL,RIAR,RIAL,RIBR,IL2VR,URADR,IL2DR,IL1DR,OLLL,RIPR,SMBVL,AIZL,AIYL,AWAL,ASEL,RIFL,RMEL,RIPL,RMED,RMER,RMDDR,URYDL,IL1DL,URADL,OLQDL,IL2DL
AWCR,0,0,432875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42915,1210767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21964,0,0,0,0,0,0,0,0,2829404,0,37509,103065,0,0,0,0,0,0,225730,0,69949,58122,48322,0,4392,0,0,0,0,0,0,0,0,0,440309,0,0,0,0,136181,7772,0,0,22640,2881443,0,0,0,0,0,0,0,0,0,0,0,0,0,1755832,372049,0,0,0,31764,2162688,0,0,0,0,0,0,1161768,0,0,0,380160,122327,0,0,5066772,11151,427130,3717,1003622,0,0,0,0,0,8785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072558,0,721121,470722,0,0,0,0,0,0,0,1710213,0,8785,1757859,0,0,0,0,0,0,0,4703508,0,97658,47308,0,3138938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0,77383,0,675,8785,97996,21964,0,0,488970,542361,0,875550,0,0,0,0,0,0,1351,34805,20275,101713,120637
ASIR,0,73666,472750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455854,0,18247,60487,0,0,0,0,0,0,191938,0,93603,137871,0,0,50350,0,0,0,0,0,0,0,0,321361,295342,0,0,0,0,0,309534,0,0,242626,788367,0,0,0,0,0,0,0,0,0,0,0,0,0,1134059,624814,0,0,216268,175718,1610526,0,0,0,0,0,0,0,0,0,0,0,0,19261,5066772,0,231813,146319,10813,731596,0,0,0,0,0,32440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25344,0,0,548106,0,0,0,0,0,0,0,2929090,0,242626,56432,0,182138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218296,0,0,0,1351,15206,25006,0,0,0,0,0,0,527493,0,0,0,0,0,0,0,0,0,0,0
AINL,0,0,0,0,0,0,0,0,0,0,98334,105093,0,0,292300,0,0,0,13854,0,7096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149022,0,0,819118,0,6420,0,0,851558,0,15882,35481,0,0,13178,0,0,0,11489,7096,127733,76369,0,0,0,527831,246343,192952,13178,0,0,0,0,74342,2896312,0,0,0,0,0,18585,0,0,903260,40212,0,0,0,0,0,110499,0,0,0,0,0,0,0,155105,0,0,0,0,0,317644,0,0,0,5406,0,0,0,0,0,0,109824,68597,0,11151,231813,0,3002081,2942945,504852,0,0,0,0,0,11489,0,0,0,0,0,0,0,2388756,0,249384,0,0,0,0,0,0,0,58460,607918,605214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646778,0,116244,17233,0,490659,0,0,0,0,0,0,0,0,0,0,0,0,0,123340,160174,0,883998,0,0,84142,48322,0,0,0,0,371036,0,1069178,0,0,0,0,0,0,0,37509,1351,86845,50688
AFDR,0,31088,361912,0,0,0,0,0,0,0,245667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414195,0,1689,49336,0,0,0,0,0,0,0,0,131450,98334,0,0,109486,0,0,0,0,0,0,0,0,0,2604011,0,0,0,0,0,0,0,0,1826795,11827,0,0,0,0,0,0,0,0,0,0,0,0,0,68597,0,0,0,0,0,4730,0,0,0,0,0,0,0,0,0,0,54405,892446,871495,427130,146319,3002081,0,1626408,6752655,0,0,0,0,0,4055,0,0,0,0,0,0,0,112189,0,0,0,0,0,0,0,0,0,0,0,288583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133478,0,0,1800099,0,0,0,0,0,0,0,0,0,0,0,6082,0,0,0,0,36157,0,0,0,0,0,45281,0,0,0,0,89210,0,1791989,0,0,0,0,0,0,0,0,0,0,0
AUAR,0,32102,310548,0,0,0,0,0,0,0,4451082,84817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7096,0,0,0,0,0,0,0,0,0,0,0,0,107120,0,0,0,0,237895,0,1013,40888,0,0,102051,0,0,0,763699,0,0,173690,0,0,0,0,0,0,0,0,0,0,0,121651,1696696,0,0,0,0,0,319672,0,13516,323727,21288,0,0,0,0,0,110499,0,207820,0,222689,0,0,242626,50688,0,0,0,0,21626,3041,0,0,0,0,0,0,264929,0,0,0,187883,2786488,0,3717,10813,2942945,1626408,0,3338987,0,0,0,0,0,0,0,63191,0,0,0,0,0,224040,0,0,0,9123,159498,0,0,0,0,176732,33792,76707,0,0,0,0,0,0,0,0,0,583587,0,0,0,0,0,0,0,0,0,0,0,225392,748154,38184,0,467343,24668,0,0,0,23316,0,0,0,517355,0,162539,0,0,1244559,0,4019220,0,0,62853,143616,0,0,0,123002,0,0,103741,0,0,0,0,0,0,0,0,0,0,0
AIYR,77721,0,921845,0,0,0,0,0,0,0,328796,1314508,0,0,0,0,0,56770,0,0,0,0,0,0,0,0,373739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858992,0,0,4730,0,0,0,0,0,0,0,0,0,0,0,0,0,855613,23992,0,0,0,0,0,0,0,359884,0,0,0,0,0,835676,0,0,1885593,4020910,0,0,0,0,0,0,0,336230,0,0,0,0,0,118609,0,0,0,0,50012,395028,337,0,0,0,0,0,104755,0,0,0,254115,710307,1537873,1003622,731596,504852,6752655,3338987,0,0,207144,0,56770,8785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12503,0,0,0,0,0,0,0,0,0,0,0,56770,0,0,0,0,0,0,0,1398988,0,0,3408599,0,0,0,92928,0,0,0,0,0,0,0,1226649,0,0,852572,0,1809561,73666,3086899,0,0,0,18585,0,0,0,112865,740044,0,2320158,0,0,0,0,0,0,0,0,0,0,0
SMBDR,0,0,23654,0,0,0,0,780257,0,943472,0,182814,136857,714024,4055,0,0,0,0,0,232826,7772,0,134830,0,0,149698,0,348395,559933,111175,392663,223703,78735,0,244992,91914,0,0,0,0,885350,8448,0,0,754913,101713,0,0,5406,33116,0,0,0,3717,0,0,0,0,0,2430658,0,0,827904,1219891,706928,0,146995,0,7434,0,0,0,0,236544,0,431861,666716,431523,0,0,0,0,0,0,1918371,28723,129423,0,0,0,0,0,0,0,0,0,135505,0,0,0,0,0,0,675,2365,0,23654,726528,932321,3354193,2606376,891770,0,0,0,0,0,0,0,0,7979304,0,0,0,152064,46632,176394,6758,0,8110,403476,1693992,0,0,932321,0,0,0,0,0,0,0,520734,0,0,0,0,0,0,0,0,0,431523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3342366,752209,0,863047,717066,0,0,38184,0,2267781,654213,0,0,860344,43929,0,0,630896,36495,38522,4055,0,0,0,0,0,129761,58122,0,0,0,0,0,0,431185,0,1949460,0,0,0,1329715,0
SMBVR,0,116582,747479,0,0,0,0,11489,0,3830661,59136,5068,7772,0,0,0,0,0,0,0,47984,0,62515,337,0,0,74680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607918,55756,33116,0,0,1102632,173352,433889,47308,0,0,0,313251,89548,94617,0,0,0,0,423751,0,48322,256819,259184,0,0,155443,0,0,1323970,2923683,98672,146319,1109053,0,23992,72990,17233,528844,544051,0,152739,1246248,0,590346,21288,269998,4730,0,315279,211875,0,0,273715,83466,0,2397542,1148252,33454,0,0,0,0,0,207144,7979304,0,0,8110,0,0,159498,0,0,0,0,54743,551147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198021,0,1549701,50688,129761,308183,205117,499783,319672,323389,0,358533,1012746,2382673,855951,0,184842,883660,0,0,0,0,196669,0,79749,487956,169297,0,474439,504852,599470,47308,0,0,0,0,0,0,0,740044,353126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVPL,0,0,0,0,0,0,0,0,0,0,0,0,107796,0,0,0,18247,0,0,0,0,0,0,0,0,0,141250,0,0,0,0,0,0,0,0,439296,661647,0,0,0,39536,0,0,0,120299,0,0,0,0,0,0,0,0,0,637655,0,0,0,0,0,0,0,0,0,0,126382,0,0,0,0,0,22978,2757089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118609,0,0,1286799,0,0,18247,0,0,0,0,0,0,0,39536,2058270,0,0,0,42240,43253,735651,200386,0,0,0,0,0,0,0,0,0,0,0,0,0,3919196,1870725,0,0,0,0,0,0,0,0,88197,0,0,0,133816,23654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365967,450109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268551,0,151050,0,666040,190248,0,0,0,2254940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,0,978278,0,0,0,0,0,0,0,0,0,0
AQR,0,0,0,0,0,0,0,0,0,0,185856,31088,418344,141250,706252,1013,50012,0,0,0,0,0,0,0,0,0,62177,0,0,0,0,0,0,0,0,2469181,104755,0,0,19937,2365,0,0,0,322713,0,0,0,0,0,0,0,0,0,2542848,0,0,0,0,0,7434,4392,1014773,39874,0,365291,0,0,0,0,0,110837,321699,0,0,0,0,0,530196,2491146,0,0,0,0,0,0,82114,2044753,0,0,3372779,0,0,78059,0,0,0,2027,0,0,0,4023613,1902489,0,0,0,112527,2079897,182138,213903,675,0,0,0,0,0,0,0,0,56770,0,8110,3919196,0,1571328,27709,0,38522,0,0,0,1351,594401,370022,191938,0,0,3717,0,0,0,0,0,688680,4392,0,0,0,0,0,0,0,0,93603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2703,77045,0,5339811,637992,1483130,724500,448081,0,729231,46295,0,1810913,0,25681,0,19261,224716,256819,10475,0,0,0,0,0,0,0,6082,0,0,0,0,0,0,0,0,0,0,8785,0,0,0
