,AWBL,SABD,AWBR,CANL,PVDL,CANR,RMFR,SMDDR,SMDDL,SAADR,URXR,RIH,RIGL,ADER,ADEL,FLPR,FLPL,ASKL,AIAL,URAVR,URYVR,IL1VR,RMDR,RMHR,URAVL,PVR,AVM,BWM-DL08,BWM-DL04,BWM-DL05,BWM-DL07,BWM-DL03,BWM-DL01,BWM-DL02,BWM-DL06,AVAL,URXL,IL2VL,IL1VL,RIBL,OLQVL,CEPDL,BWM-DR07,BWM-DR05,AIBR,URBL,URYDR,OLQDR,BWM-DR01,BWM-DR03,CEPDR,BWM-DR06,BWM-DR02,BWM-DR04,AVAR,OLQVR,OLLR,IL2R,IL2L,IL1L,SAAVL,AVJL,AVHL,RIVL,ALNL,SDQL,ALMR,RMDDL,ALNR,IL1R,AINR,AVJR,AVHR,SDQR,SMBDL,CEPVL,RIMR,RMFL,ADAR,BAGL,ASER,BWM-VR08,BWM-VL06,BWM-VL02,RMDVL,SIAVR,AVDL,PVCR,RIFR,BDUR,AVBR,AVFR,AVFL,ASHR,AIAR,ASKR,PVQR,RMGR,ASJR,AIMR,ASGR,PVPR,AVBL,BWM-DR08,URBR,RMDL,URYVL,BAGR,AVKR,AVKL,SIADR,SIBDR,ADFR,AWAR,AWCR,ASIR,AINL,AFDR,AUAR,AIYR,SMBDR,SMBVR,PVPL,AQR,PVCL,SAAVR,SAADL,SMDVR,RMDVR,SIAVL,RMHL,RICL,SIBVR,RID,AVDR,ALML,BDUL,ASHL,ADFL,RMGL,PVQL,AIML,ASJL,AIBL,AUAL,AFDL,ASGL,BWM-VL04,BWM-VL01,BWM-VL03,BWM-VL08,BWM-VL07,BWM-VL05,AVEL,ADLL,AVER,ALA,ADLR,BWM-VR06,BWM-VR02,BWM-VR04,BWM-VR07,BWM-VR05,BWM-VR01,BWM-VR03,AWCL,RMEV,CEPVR,AIZR,RICR,ASIL,DVA,RIGR,DVC,PVT,ADAL,RIML,SIBVL,SIBDL,SIADL,RIR,AVL,RIVR,RIS,SMDVL,RIAR,RIAL,RIBR,IL2VR,URADR,IL2DR,IL1DR,OLLL,RIPR,SMBVL,AIZL,AIYL,AWAL,ASEL,RIFL,RMEL,RIPL,RMED,RMER,RMDDR,URYDL,IL1DL,URADL,OLQDL,IL2DL
PVCL,0,0,0,0,0,0,0,0,0,0,0,285204,337,177408,135505,272701,777891,0,0,0,93265,0,0,72652,0,0,735651,0,0,0,0,0,0,0,0,1058027,0,0,0,0,130099,0,0,0,0,67921,0,0,0,0,0,0,0,0,585277,3041,0,0,0,0,0,1592616,69949,5068,0,2703,506880,0,0,0,0,2030899,762347,158822,151050,0,0,0,20275,5068,0,0,0,0,0,170987,1023897,2251560,0,9799,2589818,0,0,0,0,0,0,375429,0,0,0,827566,2670919,0,353126,0,45619,0,5068,0,0,0,0,0,0,0,0,0,0,8785,0,0,1870725,1571328,0,0,0,0,52377,178759,0,410910,25006,1535846,1576058,1056000,61839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175042,579532,435578,0,4730,0,0,0,0,0,0,0,0,0,67246,0,16896,0,721459,0,0,0,31764,0,520058,0,0,26019,0,0,225730,0,0,0,0,0,0,0,0,0,0,39874,0,0,0,0,0,0,0,0,0,0,0,0,2365,0,0
SAAVR,0,0,0,0,0,0,3760711,637655,6244423,26019,0,337,126382,310210,252426,0,0,0,0,0,0,0,140912,65556,0,0,0,0,0,0,0,0,0,0,0,1596334,0,0,0,0,0,0,0,0,83466,0,61163,0,0,0,0,40212,0,0,2547240,0,0,0,0,0,1097564,0,0,298383,11151,0,0,114216,1439201,89886,0,0,0,383877,2116055,0,2237030,0,0,6420,0,0,0,0,0,111175,0,68597,0,0,0,0,0,0,0,0,0,306831,0,0,0,0,37509,0,0,30074,0,95969,0,39874,233840,99686,0,0,8785,32440,11489,4055,0,0,152064,0,0,27709,0,5744,946176,2134978,373739,469708,420034,9461,35819,206131,22640,0,0,0,0,176394,0,0,0,0,0,0,0,0,0,0,0,0,0,68259,0,88197,21626,0,0,0,0,0,0,0,0,73666,0,0,0,2703,0,0,0,0,0,0,2654023,0,215255,0,0,0,332175,0,239585,1349990,27371,0,0,0,0,0,0,0,918128,0,0,0,31426,0,0,0,0,0,0,57446,0,0,0,0
SAADL,0,0,0,0,0,0,2264064,0,1451366,1619312,0,8785,963747,485591,154767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788705,0,7434,33454,0,0,0,0,0,530872,0,0,0,0,0,0,0,0,0,14530,0,1168527,157808,0,0,10475,0,0,0,53729,0,760320,769781,152064,214579,0,0,39874,932321,1149941,0,2503649,1345597,48322,0,0,0,44267,0,0,6758,115568,0,71976,0,0,0,0,0,0,0,0,559257,0,0,0,0,0,0,48998,16896,117934,0,657254,25006,0,0,0,0,0,0,0,0,0,0,46632,159498,0,0,0,946176,0,2371860,677529,54405,53729,166256,224378,0,0,0,0,0,0,341299,0,0,0,202076,0,0,0,0,0,0,0,6420,113879,43253,0,72314,0,0,0,0,0,0,0,0,0,0,0,0,0,21288,0,29736,467681,62853,2027,526141,3008501,782284,324741,975237,0,0,2524938,0,55418,0,269998,0,0,0,0,0,43591,0,4046254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMDVR,0,0,0,0,0,0,115906,437606,5124556,78059,0,94279,0,729907,296017,0,0,0,0,0,0,0,557905,195993,0,0,0,0,0,0,0,0,0,0,0,296017,0,0,0,1425008,0,0,0,0,0,0,66908,44267,111175,40212,0,0,0,0,1486848,0,225054,102051,0,0,378132,0,0,212551,247357,0,0,1239152,282163,471398,28385,70287,0,395704,0,1179002,1510840,99348,0,39536,0,0,63191,0,5406,5744,0,10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9123,455854,598118,137533,371036,31426,1377024,206131,0,0,0,0,0,0,63191,0,176394,0,0,38522,0,2134978,2371860,0,290949,965775,304465,1130342,8110,192952,0,0,0,0,0,248371,0,0,0,435916,0,0,0,14192,82452,238909,5406,0,217282,45957,0,763361,0,0,0,0,0,0,0,0,0,0,940093,0,0,442675,0,1056675,0,0,0,138209,1295923,3717,149022,1351342,0,418007,2400583,2288394,2361047,3052431,2894284,438620,0,24668,0,121313,661647,0,161187,0,0,0,0,0,0,0,259184,0,0,0,0,0,0,0
RMDVR,0,0,0,0,0,0,116244,0,130437,0,0,337,0,0,2027,0,0,0,0,0,0,0,907315,611297,207820,0,0,0,0,0,20275,0,0,3041,0,0,0,19261,15544,0,2399232,0,357181,151726,0,0,3025735,186531,270336,125368,1586196,0,422400,64542,306155,0,1982576,0,0,609607,0,0,0,0,0,0,0,9764874,15882,1428725,0,0,0,106444,115568,186193,0,0,0,0,0,0,737003,505190,1750425,115906,30750,0,0,0,0,0,0,0,0,0,0,1306398,0,0,0,0,102051,0,0,1473331,1284433,395366,0,0,274391,43253,0,0,0,0,0,0,0,0,6758,0,0,0,52377,373739,677529,290949,0,1255372,327106,0,696791,0,0,0,0,0,0,358533,0,0,0,0,0,0,0,1693317,356167,1589913,8110,640020,1578424,355491,0,150374,0,0,0,8110,0,0,631234,66570,229109,0,321699,0,0,105768,0,0,90224,0,0,0,0,765726,657592,73328,0,0,1004298,0,62515,4294287,3508961,67246,0,0,0,5146521,2027,5744,1731840,0,0,0,0,0,0,0,2381998,0,306493,0,0,0,7096,0
SIAVL,0,0,0,0,0,0,3041,8785,5406,0,0,0,0,0,0,0,0,0,0,0,0,0,1169879,11827,35819,0,81438,0,0,0,0,0,0,0,0,187883,0,40888,66570,248033,675,0,0,0,14530,113541,0,0,0,0,0,0,0,0,0,0,0,0,132126,45957,59136,0,0,0,0,0,0,0,0,0,0,23992,79749,1689,1493268,0,0,0,0,0,0,0,0,0,99010,0,0,102051,0,0,0,187207,111175,0,0,0,0,0,0,0,0,0,63191,0,0,0,2703,0,492687,45957,118609,59136,0,0,0,0,0,0,0,0,0,0,0,0,178759,469708,54405,965775,1255372,0,994498,902246,222689,22302,104755,0,47646,0,605890,311900,1013,3717,0,0,0,0,0,0,0,0,0,0,0,0,0,716728,0,0,0,0,0,0,0,0,0,0,154767,0,0,155443,0,2595563,0,0,0,137871,240261,2295152,4104038,1318563,0,0,1535170,35143,0,522762,126044,0,0,0,0,0,96983,0,2572584,0,0,0,0,337,0,0,0,0,213227,0,0,0,0,0
RMHL,0,0,0,0,0,0,1016801,626841,673136,55756,29399,487618,0,747479,0,0,69273,0,0,0,0,0,1352693,1790976,0,0,0,0,0,0,0,0,0,0,0,694425,0,61839,0,0,779581,104417,0,0,99686,205117,0,4055,0,0,1205698,0,520058,550809,691046,0,11489,14530,0,0,98672,0,0,236544,167608,2027,0,715714,744775,688343,0,0,0,1398650,73328,505190,0,18247,0,0,0,0,0,0,291624,9461,0,0,0,0,0,0,0,0,0,0,0,3444080,0,0,0,0,0,20951,2141399,1963991,0,0,0,383201,6758,64542,0,0,0,0,0,0,0,0,8110,0,0,0,0,420034,53729,304465,327106,994498,0,2063677,273715,0,0,0,0,0,0,756264,0,0,0,13516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28723,440309,833310,0,0,0,0,0,0,434565,0,1246924,0,0,1011732,0,0,0,0,0,1238814,30412,0,0,1374996,0,144291,0,210186,0,0,0,0,0,0,0,124692,0,0,0,0,0,29399,86507,0,0,250398,0,0,0,483901,0
RICL,0,0,30074,0,0,0,9799,234516,1230366,138885,423413,0,0,0,0,0,0,0,0,36495,496404,102727,180449,1148590,0,0,0,0,0,21626,0,0,0,0,0,1766307,518031,105431,78059,0,329472,638330,5068,0,0,1474682,0,595752,0,0,696453,0,0,0,1025925,73328,0,99010,148684,0,7772,110837,539320,628531,7096,354816,0,0,81100,5068,0,333527,408883,1406423,825200,1068165,573788,0,1175285,0,0,3717,0,0,160512,295342,202076,361912,23654,0,0,173015,123340,71976,0,0,0,190586,0,0,0,0,522086,0,1663580,29061,0,0,219648,219985,271687,636641,116582,67921,0,0,0,0,0,0,403476,54743,0,1351,410910,9461,166256,1130342,0,902246,2063677,0,1830512,175718,112527,0,70963,74342,0,458219,0,315617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19937,0,0,0,0,0,97320,956989,0,2923345,0,1345597,0,0,0,334202,348057,374415,763023,698818,0,15544,688343,126382,325416,0,0,0,61501,39874,37847,0,0,0,1052620,0,0,0,0,0,0,339947,0,0,355491,8110,0,203089,185856,63191
SIBVR,0,0,0,0,0,0,78397,164567,0,279459,18247,1351,0,159498,38184,0,0,0,0,61501,47646,21288,247357,153077,64204,0,0,0,0,0,44943,0,0,0,0,0,0,4055,8785,197345,90562,0,0,0,235868,678543,0,449095,0,0,224378,10475,13516,104079,201062,5744,65218,82790,19599,0,0,0,164567,18585,0,809994,0,416655,0,183828,0,1013,159498,175380,1944729,96983,377118,730920,213565,64880,0,0,0,0,942796,1539225,0,295342,0,0,1001594,222689,23654,0,0,0,0,714700,0,0,0,0,557568,104079,967802,1245911,200724,108134,0,0,646440,2769930,350423,0,0,0,0,0,0,0,1693992,551147,0,594401,25006,35819,224378,8110,696791,222689,273715,1830512,0,2639493,512286,0,85493,234854,0,291962,0,203089,0,146657,0,0,63866,0,0,0,0,0,0,93603,0,0,0,0,0,0,0,0,0,0,0,0,302438,0,0,510259,0,3052093,586967,0,1013,25344,134830,2264064,524451,109824,0,363939,35819,73666,0,406179,0,208834,33792,0,0,0,1689,0,124354,213903,0,0,0,0,0,0,6082,0,488294,0,0,0,0,0
RID,0,0,0,0,0,0,0,0,1689,30074,0,0,1233070,0,0,0,97320,0,0,0,0,0,0,0,0,0,8448,0,0,0,0,0,0,0,0,381849,0,0,0,900218,72314,14868,0,0,94955,388945,2027,148684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288921,0,946176,0,0,0,0,2244464,541347,319334,0,11827,264591,0,2703,0,1067827,0,0,0,0,0,0,871495,355491,0,0,2109972,100700,0,0,0,0,0,0,0,0,0,0,10137,0,0,0,136181,1126287,0,646778,0,4055,0,0,0,0,2388756,112189,224040,0,0,0,88197,370022,1535846,206131,0,192952,0,22302,0,175718,2639493,50350,2362398,702873,0,65894,14530,657592,47984,135168,0,0,40212,49336,30750,0,0,0,0,0,0,182476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112527,0,1135411,295342,358871,1090467,198021,71639,255805,150712,0,28047,146657,0,25006,0,0,0,43591,0,0,0,19261,0,0,82114,378132,0,0,0,0,0,0,0,0,0,77721,0,0,0,0
AVDR,0,0,0,0,0,0,0,0,86169,2365,30412,0,195993,80087,26019,0,709632,0,37509,0,0,0,0,0,0,117934,261888,0,0,0,0,0,0,0,0,160849,63528,0,0,6082,62515,0,0,0,13516,284866,160174,58460,0,0,218634,0,0,0,204441,0,46295,0,0,0,160174,84480,0,0,0,163891,410910,0,0,0,246343,2634762,738355,0,0,60487,4055,0,378132,296693,0,0,0,0,73666,0,141250,265605,51363,65556,516003,7096,0,249722,0,9123,19937,0,67246,216268,0,0,1002270,0,132464,0,131450,342312,0,0,0,216606,0,0,0,0,0,0,0,0,0,0,0,191938,1576058,22640,0,0,0,104755,0,112527,512286,2362398,0,1607147,771809,1073233,0,198696,0,0,0,295342,147671,0,0,0,0,0,0,0,0,1341880,928604,0,83804,108810,0,0,0,0,0,0,0,0,0,0,12165,332513,0,758292,0,0,0,344678,318658,12840,576153,296693,0,0,364953,14530,125368,0,0,0,0,37509,0,2027,0,0,0,228433,0,0,0,101038,0,0,0,0,0,47646,143278,0,136857,110499
ALML,0,0,0,0,0,0,0,2027,0,369684,0,0,0,0,569395,0,0,0,0,0,0,0,0,0,0,1238476,870144,0,0,0,0,0,0,0,2703,12165,215255,0,0,0,124354,628531,0,0,0,228433,0,0,0,0,0,0,0,0,0,0,0,0,0,76369,0,277094,308858,0,0,1030993,0,0,0,0,0,569733,0,0,0,1378713,0,0,0,0,0,0,0,0,0,0,1001256,0,0,0,0,126720,34467,0,0,0,0,0,0,0,0,0,630896,0,0,9461,100700,0,0,0,858316,828241,0,0,0,0,249384,0,0,0,932321,0,0,0,1056000,0,0,0,0,0,0,0,0,702873,1607147,0,1815306,15544,0,541685,95293,590346,14530,0,0,0,0,0,0,0,0,0,0,31764,11489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26357,0,0,0,1014435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494714,0,0,0,0,134154,0,0,0,0,0
BDUL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185518,0,0,0,0,0,0,0,0,0,0,556216,875888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43253,0,0,0,11489,0,0,0,0,47646,0,0,0,0,0,0,0,0,0,0,180787,310886,0,0,415303,7434,0,0,0,0,937052,385228,0,0,0,0,0,0,0,0,0,0,0,0,0,43253,0,559257,130437,53391,1491240,200048,0,0,0,0,0,0,0,0,4730,6758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61839,0,0,0,0,47646,0,70963,85493,0,771809,1815306,0,0,0,176394,120975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105431,0,0,0,104417,310210,0,0,0,0,0,0,0,0,0,0,0,0,72314,102389,17233,0,0,0,0,0,0,0,2466478,0,0,0,0,0,0,61163,73666,0,88872
ASHL,941107,0,227758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824524,2129909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735651,536616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22640,0,0,0,11827,0,0,142940,183152,0,0,0,0,0,0,0,0,116244,1309102,0,0,0,0,0,154767,0,0,0,0,0,0,0,309872,0,0,0,7772,543713,818104,430510,0,0,0,0,0,0,0,0,1641953,0,0,0,0,0,0,0,0,0,3041,0,0,0,0,0,9123,0,0,0,133816,3717,0,0,0,0,0,0,0,74342,234854,65894,1073233,15544,0,0,1053634,617717,836014,225730,8448,1546997,0,0,80762,0,0,0,0,0,0,84142,1032345,0,0,0,0,0,0,0,0,0,0,0,215592,0,0,0,0,0,0,0,0,2576977,405504,0,0,0,283852,0,0,138209,0,0,191938,0,0,0,0,0,0,0,807966,898191,8448,2079559,958341,4191221,0,0,0,0,0,0,0,0,12165,0
ADFL,1979197,0,33454,0,0,0,0,0,0,0,0,114892,332513,0,0,0,0,0,426792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750425,0,0,155443,69949,0,0,0,195993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40212,0,1632491,0,922183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237557,0,0,0,0,48322,0,0,0,0,332513,0,0,0,0,0,159498,0,0,0,23654,0,0,0,0,0,0,605890,0,0,0,14530,0,0,0,1053634,0,0,0,244316,0,43929,2370170,801546,0,0,0,0,0,0,0,0,0,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490321,0,0,0,112527,19937,424765,0,0,1287137,0,0,0,0,0,2171473,0,0,0,0,0,0,0,1468938,3171717,540334,2604349,190924,381849,0,0,0,0,0,0,0,0,0,0
RMGL,98672,0,0,0,0,0,43253,329472,50012,719431,0,0,111513,0,210186,0,0,160174,0,0,0,0,3018639,4968437,0,122327,0,1561866,365629,0,0,0,0,22302,978616,234178,711997,0,0,0,0,1147576,0,0,372725,260198,0,0,0,0,0,0,0,0,354478,0,0,0,548444,322375,231137,0,0,0,1579438,151388,0,31426,0,0,0,207820,0,0,87521,809994,99348,1229015,0,0,0,0,743761,153415,1144197,0,0,421724,0,0,0,1597347,1612554,0,0,0,0,0,0,0,0,0,230123,0,0,1052620,0,0,157808,219648,172339,354816,0,0,0,0,0,0,0,0,0,0,0,0,0,176394,341299,248371,358533,311900,756264,458219,291962,657592,198696,541685,176394,617717,0,0,1490227,1117501,347719,0,0,0,0,907315,0,0,1498675,0,0,726865,212551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338257,0,0,0,0,0,987064,39198,582236,223703,25006,0,0,375767,47984,0,0,0,0,0,0,0,0,198021,0,1081344,0,0,11827,0,1124597,0,0,0,4055,153077,0,0,0,0,0
PVQL,0,0,0,0,0,0,0,9461,0,0,0,0,0,0,0,0,0,4334837,1075599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218972,0,0,0,0,0,0,0,0,0,22302,0,0,0,0,0,0,0,0,0,0,0,0,20613,0,0,0,0,0,2027,0,0,0,0,0,0,57108,0,0,0,123002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530777,1993052,0,0,80087,0,0,0,0,0,0,12503,0,0,0,0,0,0,0,0,8785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,0,0,0,47984,0,95293,120975,836014,0,1490227,0,812697,5632112,26357,0,0,0,0,0,0,0,0,0,0,1249628,0,1076951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19261,0,0,0,184504,371712,365629,1164472,0,0,0,0,0,0,0,0,0,0
AIML,494714,0,0,0,0,0,0,35481,0,0,0,0,0,0,0,0,0,1471979,2326579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682598,0,0,0,0,11151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98672,100024,0,0,0,0,0,0,0,0,0,0,0,0,206807,0,0,0,0,0,0,0,0,0,0,230461,0,0,0,0,1468938,329809,0,0,0,0,0,51025,190924,0,0,0,0,0,0,0,0,0,0,186869,155781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3717,0,315617,203089,135168,0,590346,0,225730,244316,1117501,812697,0,3089940,31088,0,0,2535751,0,0,0,0,0,0,3379,3041,0,27033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280135,49336,99010,22978,0,97320,0,0,0,0,0,24330,48322,34467,81100,0
ASJL,41564,0,0,0,0,0,0,37171,0,0,0,0,0,0,3717,0,0,2597253,641034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6758,35819,0,0,230799,0,0,0,0,0,43591,0,0,0,0,0,0,0,0,0,0,0,0,98334,31764,0,57784,50350,0,0,0,0,0,0,0,0,0,0,0,0,161525,0,0,0,0,0,0,0,0,0,0,96645,0,0,0,0,183828,637992,0,0,100024,221675,0,499107,0,0,0,0,0,0,0,0,0,0,0,96307,48322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14530,0,8448,0,347719,5632112,3089940,0,0,1013,0,120299,0,0,0,0,0,0,0,29399,0,376780,0,0,0,0,0,0,0,0,0,0,0,0,0,282501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47646,0,0,0,0,133140,282163,120637,0,0,0,0,0,29061,46295,0,54743,0
AIBL,270673,0,160849,0,0,0,63528,1733191,0,962396,68259,0,224378,0,0,892784,0,973209,5270876,139560,160512,85493,0,0,0,0,0,0,0,0,0,0,0,0,0,1109053,0,0,0,46632,0,0,0,0,426117,0,257157,34805,0,0,5744,0,0,0,0,0,140574,1689,0,0,111851,0,30412,343664,0,0,0,0,0,0,96307,0,0,58798,0,0,4429793,790732,152064,630558,732272,0,0,0,0,93603,443351,0,0,0,0,0,0,0,0,0,0,370022,0,0,0,63866,1665945,0,0,0,0,77721,1828823,696115,1479075,413952,227758,0,1072558,0,58460,0,176732,0,520734,0,0,688680,0,0,202076,435916,0,0,13516,0,146657,0,295342,0,0,1546997,43929,0,26357,31088,0,0,180111,960030,1520977,0,0,0,0,0,0,1085061,1441566,412600,0,0,0,0,0,0,0,0,0,2922670,376442,0,1843691,235530,314265,553175,1774755,1192857,491673,148346,585277,218296,189573,0,371712,803911,0,675502,0,247695,0,531548,128071,15206,1351,11489,0,0,0,660295,472750,121313,3563704,115568,0,0,146657,0,0,0,0,0,0,0
AUAL,225392,0,0,0,0,0,0,0,0,0,0,253777,32440,0,0,0,0,0,31764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597442,5833512,0,0,4265564,0,0,0,0,33792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240261,0,0,0,0,0,0,3279513,0,0,0,0,276418,0,0,0,459233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38184,0,0,0,0,188221,0,0,0,0,0,0,0,0,607918,0,33792,0,0,0,0,4392,0,0,0,0,0,0,0,0,0,40212,147671,0,0,0,2370170,0,0,0,1013,180111,0,2449920,0,0,0,0,0,0,0,443688,0,0,0,0,0,0,0,0,0,0,0,174366,36157,0,0,0,0,566691,0,0,0,0,241274,0,161863,0,198696,0,0,0,13516,0,1290516,0,0,0,0,0,0,0,0,250736,2441809,2027,17571,0,0,0,0,0,0,16896,86845,0,34129,156119
AFDL,482887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274053,0,0,10813,0,0,0,0,87183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4730,0,0,0,0,0,0,3900610,0,0,0,0,21964,0,0,0,0,1299302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381079,0,0,0,0,0,0,721121,0,605214,288583,76707,12503,0,0,0,0,0,0,0,0,0,0,0,0,0,49336,0,0,0,0,801546,0,0,0,0,960030,2449920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524113,0,0,0,0,492687,0,0,0,0,0,0,0,59811,0,0,0,0,0,0,0,21626,0,0,0,0,0,0,0,13516,1477386,6339041,967464,29061,0,0,0,0,0,0,0,21626,0,9799,10137
ASGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236206,3329525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105768,0,0,0,0,61163,0,0,0,0,0,0,470722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63866,30750,0,0,0,80762,0,0,0,2535751,120299,1520977,0,0,0,0,0,0,0,0,0,0,9799,0,0,0,0,0,0,0,0,0,0,1797734,0,0,0,0,1400678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79411,733962,71976,431185,517017,0,0,0,0,0,0,0,0,0,0,0
BWM-VL04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419358,0,0,0,0,0,0,0,550133,298721,102727,0,0,0,1152645,0,0,0,0,804587,183152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107120,0,0,0,0,0,0,0,49674,0,0,0,0,0,0,0,200724,473088,0,0,0,0,0,4465950,6379929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14192,1693317,0,0,0,0,0,0,0,0,0,0,907315,0,0,0,0,0,0,0,0,25006,0,284866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40888,0,0,0,29736,0,0,0,0,0,0,0,0,0,0,0,446054,0,0,0,0,0,0,0,0,1193195,0,0,0,0,0,0
BWM-VL01,0,0,0,0,0,0,0,41564,108134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807534,0,0,0,0,0,0,0,0,0,0,0,0,0,668405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281487,0,0,0,0,0,0,0,1049579,0,0,0,0,0,0,0,1673717,45957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82452,356167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25006,0,3570800,0,0,10475,0,0,0,0,0,0,0,0,0,114554,624476,285204,0,90562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10813,0,0,0,0,0,0,0,0,0,366981,0,0,0,0,0,15882,208834,592035,0,0,0,0,0,0,0
BWM-VL03,0,0,0,0,0,0,0,12840,60149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31764,0,0,0,0,0,0,0,0,0,0,0,0,0,37847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30412,0,0,0,0,0,0,0,313927,0,0,0,0,0,0,0,0,281487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238909,1589913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3570800,0,0,0,5287096,0,0,0,0,0,0,0,0,0,400097,138885,1153320,0,238909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43591,0,0,0,0,0,0,0,23654,0,307169,0,0,0,0,0,0,0,502149,10137,0,0,0,0,0,0
